,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_penalty,param_solver,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.004224014282226562,0.0006870031356811523,0.6161616161616161,0.616161723169715,0.001,l1,liblinear,"{'C': 0.001, 'penalty': 'l1', 'solver': 'liblinear'}",34,0.6111111111111112,0.616729088639201,0.6111111111111112,0.616729088639201,0.6179775280898876,0.6159600997506235,0.6179775280898876,0.6159600997506235,0.6179775280898876,0.6159600997506235,0.6179775280898876,0.6159600997506235,0.6179775280898876,0.6159600997506235,0.6179775280898876,0.6159600997506235,0.6179775280898876,0.6159600997506235,0.6136363636363636,0.6164383561643836,0.001102181833876221,0.00027877439893742555,0.0028440380993940604,0.00031700110213568454
1,0.002064800262451172,0.0003995418548583984,0.6161616161616161,0.616161723169715,0.001,l1,saga,"{'C': 0.001, 'penalty': 'l1', 'solver': 'saga'}",34,0.6111111111111112,0.616729088639201,0.6111111111111112,0.616729088639201,0.6179775280898876,0.6159600997506235,0.6179775280898876,0.6159600997506235,0.6179775280898876,0.6159600997506235,0.6179775280898876,0.6159600997506235,0.6179775280898876,0.6159600997506235,0.6179775280898876,0.6159600997506235,0.6179775280898876,0.6159600997506235,0.6136363636363636,0.6164383561643836,0.0003408451085605603,8.56305676905133e-05,0.0028440380993940604,0.00031700110213568454
2,0.0034881353378295897,0.00046031475067138673,0.6206509539842873,0.6262689469131,0.01,l1,liblinear,"{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear'}",29,0.6111111111111112,0.6479400749063671,0.6222222222222222,0.6491885143570537,0.6292134831460674,0.6234413965087282,0.6179775280898876,0.6197007481296758,0.6179775280898876,0.6259351620947631,0.6179775280898876,0.6197007481296758,0.6179775280898876,0.6197007481296758,0.6292134831460674,0.6184538653366584,0.6292134831460674,0.6184538653366584,0.6136363636363636,0.6201743462017435,0.001440610566808486,0.0001284525338325354,0.006255232325907616,0.01136560459285906
3,0.011025786399841309,0.00035264492034912107,0.6195286195286195,0.6195287748712943,0.01,l1,saga,"{'C': 0.01, 'penalty': 'l1', 'solver': 'saga'}",30,0.6111111111111112,0.6204744069912609,0.6111111111111112,0.6204744069912609,0.6292134831460674,0.6184538653366584,0.6179775280898876,0.6197007481296758,0.6179775280898876,0.6197007481296758,0.6179775280898876,0.6197007481296758,0.6179775280898876,0.6197007481296758,0.6292134831460674,0.6184538653366584,0.6292134831460674,0.6184538653366584,0.6136363636363636,0.6201743462017435,0.003459615051716238,8.69826949559666e-05,0.006841907825774333,0.0007609069118275967
4,0.0045593976974487305,0.0002840757369995117,0.7789001122334456,0.7858802722517109,0.1,l1,liblinear,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",25,0.7777777777777778,0.7790262172284644,0.7333333333333333,0.7740324594257179,0.7752808988764045,0.7817955112219451,0.8651685393258427,0.7855361596009975,0.7752808988764045,0.7830423940149626,0.7640449438202247,0.7955112219451371,0.7640449438202247,0.7917705735660848,0.7528089887640449,0.7942643391521197,0.8202247191011236,0.7805486284289277,0.7613636363636364,0.7932752179327521,0.0003674347188962126,1.5985872387880228e-05,0.03562163784838232,0.007021830565709089
5,0.01436929702758789,0.0003304004669189453,0.7957351290684624,0.7964837572969007,0.1,l1,saga,"{'C': 0.1, 'penalty': 'l1', 'solver': 'saga'}",24,0.7777777777777778,0.797752808988764,0.8,0.7952559300873908,0.7752808988764045,0.800498753117207,0.8764044943820225,0.7892768079800498,0.8089887640449438,0.7980049875311721,0.7865168539325843,0.800498753117207,0.7752808988764045,0.7955112219451371,0.7640449438202247,0.7992518703241895,0.8202247191011236,0.7955112219451371,0.7727272727272727,0.7932752179327521,0.0037277107627379344,7.511757882780522e-05,0.03172621634136046,0.003308496927798225
6,0.009296560287475586,0.00024802684783935546,0.7991021324354658,0.8118227560654662,1,l1,liblinear,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",5,0.7666666666666667,0.8177278401997503,0.7777777777777778,0.8114856429463171,0.7865168539325843,0.814214463840399,0.8651685393258427,0.7992518703241895,0.797752808988764,0.8104738154613467,0.797752808988764,0.8129675810473815,0.7865168539325843,0.814214463840399,0.7752808988764045,0.816708229426434,0.8539325842696629,0.8104738154613467,0.7840909090909091,0.8107098381070984,0.0016067340976278928,5.2318951311249105e-05,0.031613782878481725,0.004842599575213114
7,0.028928637504577637,0.00021719932556152344,0.8013468013468014,0.8126954187425219,1,l1,saga,"{'C': 1, 'penalty': 'l1', 'solver': 'saga'}",4,0.7666666666666667,0.8164794007490637,0.7777777777777778,0.8127340823970037,0.7865168539325843,0.8154613466334164,0.8651685393258427,0.800498753117207,0.797752808988764,0.8129675810473815,0.797752808988764,0.8117206982543641,0.7865168539325843,0.8154613466334164,0.7865168539325843,0.8192019950124688,0.8539325842696629,0.8104738154613467,0.7954545454545454,0.8119551681195517,0.007751622184518834,5.5218484112602564e-05,0.03053835327483149,0.004766786763697308
8,0.014247417449951172,0.00019860267639160156,0.797979797979798,0.811947132237813,10,l1,liblinear,"{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}",6,0.7555555555555555,0.8164794007490637,0.7888888888888889,0.8077403245942572,0.797752808988764,0.8154613466334164,0.8876404494382022,0.7992518703241895,0.7865168539325843,0.8092269326683291,0.7752808988764045,0.8154613466334164,0.7752808988764045,0.816708229426434,0.7865168539325843,0.8192019950124688,0.8426966292134831,0.8117206982543641,0.7840909090909091,0.8082191780821918,0.004810732751920968,4.20043197542898e-05,0.03662135220818486,0.005663543499008905
9,0.034044623374938965,0.0001947164535522461,0.797979797979798,0.8118222882927444,10,l1,saga,"{'C': 10, 'penalty': 'l1', 'solver': 'saga'}",6,0.7555555555555555,0.815230961298377,0.7888888888888889,0.8077403245942572,0.797752808988764,0.8154613466334164,0.8876404494382022,0.7992518703241895,0.7865168539325843,0.8092269326683291,0.7752808988764045,0.816708229426434,0.7752808988764045,0.8154613466334164,0.7865168539325843,0.8192019950124688,0.8426966292134831,0.8117206982543641,0.7840909090909091,0.8082191780821918,0.015640506886794723,4.649456332762945e-05,0.03662135220818486,0.005575333756703611
