,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_activation,param_alpha,param_hidden_layer_sizes,param_solver,params,rank_test_score,split0_test_score,split0_train_score,split10_test_score,split10_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,11.225725759159435,0.0023303465409712358,0.7631874298540965,0.9818192851664935,logistic,0.0001,"(100,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'}",138,0.7317073170731707,0.9864029666254636,0.75,0.9765721331689272,0.7283950617283951,0.9876543209876543,0.691358024691358,0.9814814814814815,0.7777777777777778,0.9839506172839506,0.8271604938271605,0.9851851851851852,0.8148148148148148,0.9888888888888889,0.7160493827160493,0.9814814814814815,0.7407407407407407,0.9777777777777777,0.7901234567901234,0.980246913580247,0.8271604938271605,0.9703703703703703,0.390113367537448,0.0012431410250895,0.0447820332270782,0.0052097247022530515
1,1.395936207337813,0.0023543617942116475,0.7710437710437711,0.7718279531905728,logistic,0.0001,"(100,)",adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'solver': 'adam'}",115,0.6341463414634146,0.754017305315204,0.7875,0.7669543773119606,0.7283950617283951,0.7802469135802469,0.8024691358024691,0.7691358024691358,0.8271604938271605,0.7888888888888889,0.7777777777777778,0.7555555555555555,0.7901234567901234,0.7938271604938272,0.7654320987654321,0.7493827160493827,0.7777777777777778,0.7876543209876543,0.8395061728395061,0.7888888888888889,0.7530864197530864,0.7555555555555555,0.4290957718380345,0.0007789405254897833,0.05282137827578669,0.01586608189723517
2,23.53348207473755,0.002534649588844993,0.7755331088664422,0.9804708190467046,logistic,0.0001,"(64, 64)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'solver': 'lbfgs'}",99,0.7560975609756098,0.9715698393077874,0.8,0.9765721331689272,0.7530864197530864,0.9851851851851852,0.7283950617283951,0.9814814814814815,0.7530864197530864,0.9888888888888889,0.8518518518518519,0.9765432098765432,0.8024691358024691,0.980246913580247,0.7530864197530864,0.980246913580247,0.7901234567901234,0.9814814814814815,0.7530864197530864,0.9839506172839506,0.7901234567901234,0.9790123456790123,1.0363230791039462,0.0006101473947587386,0.03328514512769016,0.004465236819551298
3,2.5317943312905054,0.0020030411806973543,0.7789001122334456,0.7893374867058717,logistic,0.0001,"(64, 64)",adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (64, 64), 'solver': 'adam'}",86,0.6829268292682927,0.7861557478368356,0.8375,0.7891491985203453,0.7283950617283951,0.7839506172839507,0.7901234567901234,0.7938271604938272,0.8271604938271605,0.8012345679012346,0.8024691358024691,0.7641975308641975,0.8024691358024691,0.7913580246913581,0.7530864197530864,0.7901234567901234,0.7654320987654321,0.8024691358024691,0.8395061728395061,0.7925925925925926,0.7407407407407407,0.7876543209876543,0.42886656143694124,0.0003643747368825064,0.047491520800554944,0.00964582651221883
4,9.268846771933816,0.00101791728626598,0.7710437710437711,0.9683514056398331,logistic,0.0001,"(32, 32)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 32), 'solver': 'lbfgs'}",115,0.7439024390243902,0.9703337453646477,0.7625,0.9593094944512947,0.7037037037037037,0.980246913580247,0.7530864197530864,0.9765432098765432,0.7530864197530864,0.9753086419753086,0.8148148148148148,0.945679012345679,0.8148148148148148,0.9679012345679012,0.7160493827160493,0.971604938271605,0.8024691358024691,0.9666666666666667,0.8024691358024691,0.9790123456790123,0.8148148148148148,0.9592592592592593,0.37375874983802915,0.0004988190170322094,0.03901591921769529,0.009847401096754423
5,1.8333948742259631,0.0008992281827059659,0.7744107744107744,0.7831645094949871,logistic,0.0001,"(32, 32)",adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (32, 32), 'solver': 'adam'}",101,0.6585365853658537,0.788627935723115,0.8,0.7928483353884094,0.7407407407407407,0.7666666666666667,0.7901234567901234,0.7876543209876543,0.8395061728395061,0.8012345679012346,0.8024691358024691,0.7641975308641975,0.7777777777777778,0.782716049382716,0.7530864197530864,0.7950617283950617,0.7407407407407407,0.7592592592592593,0.8271604938271605,0.7901234567901234,0.7901234567901234,0.7864197530864198,0.29492397892244065,0.0001815365032073597,0.04793339580257731,0.013053963193589169
6,3.764786806973544,0.000677412206476385,0.7665544332210998,0.9555486152380829,logistic,0.0001,"(16, 16)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (16, 16), 'solver': 'lbfgs'}",130,0.7560975609756098,0.9245982694684796,0.775,0.9864364981504316,0.6790123456790124,0.9617283950617284,0.7777777777777778,0.9703703703703703,0.654320987654321,0.9567901234567902,0.8271604938271605,0.9580246913580247,0.7777777777777778,0.9555555555555556,0.7901234567901234,0.9469135802469136,0.7777777777777778,0.9604938271604938,0.8271604938271605,0.9469135802469136,0.7901234567901234,0.9432098765432099,0.26391219222764645,0.00012020497611634363,0.051589449091354656,0.015085691335733897
7,0.9828428355130282,0.0006188045848499645,0.7833894500561167,0.7949494398676102,logistic,0.0001,"(16, 16)",adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (16, 16), 'solver': 'adam'}",72,0.7317073170731707,0.8009888751545118,0.7875,0.8014796547472256,0.7283950617283951,0.7975308641975308,0.8024691358024691,0.7925925925925926,0.8148148148148148,0.7864197530864198,0.8395061728395061,0.7901234567901234,0.7407407407407407,0.7913580246913581,0.7654320987654321,0.7925925925925926,0.7777777777777778,0.7975308641975308,0.8271604938271605,0.7901234567901234,0.8024691358024691,0.8037037037037037,0.14684400587441568,9.533482577420678e-05,0.03655453264821412,0.005329392140420139
8,6.952076543461192,0.0014058459888805044,0.7654320987654321,0.9771038126005899,logistic,0.0001,"(64,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'solver': 'lbfgs'}",134,0.7073170731707317,0.9604449938195303,0.7625,0.9654747225647349,0.7283950617283951,0.9790123456790123,0.7283950617283951,0.9740740740740741,0.7654320987654321,0.9839506172839506,0.8641975308641975,0.9851851851851852,0.8024691358024691,0.9790123456790123,0.7407407407407407,0.9851851851851852,0.8148148148148148,0.9753086419753086,0.691358024691358,0.9740740740740741,0.8148148148148148,0.9864197530864197,0.2991970905798797,0.00026817032045478486,0.05069634811597146,0.008010793236893028
9,1.1741649887778542,0.0016956546089865944,0.7620650953984287,0.77452460352038,logistic,0.0001,"(64,)",adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'solver': 'adam'}",142,0.6829268292682927,0.765142150803461,0.7875,0.750924784217016,0.7037037037037037,0.7753086419753087,0.8024691358024691,0.7938271604938272,0.7283950617283951,0.7506172839506173,0.7777777777777778,0.762962962962963,0.7777777777777778,0.7888888888888889,0.7407407407407407,0.7666666666666667,0.8024691358024691,0.7913580246913581,0.7901234567901234,0.7888888888888889,0.7901234567901234,0.7851851851851852,0.3356687399224576,0.0007921938195603087,0.03966550637013542,0.015358863011844553
