,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_features,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split10_test_score,split10_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.12717060609297318,0.10243836316195401,0.8024691358024691,0.9747470513696342,gini,auto,10,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 10}",104,0.7804878048780488,0.9703337453646477,0.8375,0.9741060419235512,0.7654320987654321,0.9765432098765432,0.7901234567901234,0.9790123456790123,0.7901234567901234,0.9777777777777777,0.8395061728395061,0.9728395061728395,0.8271604938271605,0.9740740740740741,0.7407407407407407,0.9777777777777777,0.8148148148148148,0.9703703703703703,0.7777777777777778,0.9777777777777777,0.8641975308641975,0.971604938271605,0.007430878641948249,0.0004691828426376806,0.03534505599711789,0.003044859005878992
1,0.13395604220303622,0.10318034345453436,0.7991021324354658,0.9831645618398835,gini,auto,20,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 20}",137,0.7804878048780488,0.9777503090234858,0.8375,0.9815043156596794,0.7654320987654321,0.9851851851851852,0.7777777777777778,0.9864197530864197,0.7777777777777778,0.9888888888888889,0.8765432098765432,0.9827160493827161,0.7901234567901234,0.9864197530864197,0.7777777777777778,0.9827160493827161,0.8148148148148148,0.9814814814814815,0.7530864197530864,0.980246913580247,0.8395061728395061,0.9814814814814815,0.005846310613258934,0.0013562642877539758,0.036155444630606305,0.0030850732584562983
2,0.1438856991854581,0.10641533678228204,0.8080808080808081,0.9869809165508951,gini,auto,30,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 30}",54,0.7439024390243902,0.9864029666254636,0.8375,0.9864364981504316,0.7901234567901234,0.9876543209876543,0.7654320987654321,0.9888888888888889,0.8024691358024691,0.9901234567901235,0.9012345679012346,0.9851851851851852,0.8395061728395061,0.9851851851851852,0.7777777777777778,0.9876543209876543,0.8024691358024691,0.9851851851851852,0.7901234567901234,0.9888888888888889,0.8395061728395061,0.9851851851851852,0.013082016121415576,0.00537298128625137,0.04169406738343936,0.001694704189081928
3,0.16272100535306064,0.10753477703441273,0.8024691358024691,0.9875419457318938,gini,auto,40,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 40}",104,0.7560975609756098,0.9876390605686032,0.85,0.9889025893958077,0.7654320987654321,0.9888888888888889,0.7530864197530864,0.9901234567901235,0.8024691358024691,0.9901234567901235,0.8765432098765432,0.9851851851851852,0.8148148148148148,0.9888888888888889,0.7654320987654321,0.9876543209876543,0.8271604938271605,0.9827160493827161,0.7654320987654321,0.9876543209876543,0.8518518518518519,0.9851851851851852,0.01813842011753761,0.011738376610440984,0.042265116799715424,0.002200017880377763
4,0.20185253836891867,0.11276680772954767,0.8024691358024691,0.9881031129597276,gini,auto,50,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 50}",104,0.7682926829268293,0.9876390605686032,0.825,0.9889025893958077,0.7654320987654321,0.9888888888888889,0.7901234567901234,0.9888888888888889,0.7777777777777778,0.9901234567901235,0.8641975308641975,0.9876543209876543,0.8271604938271605,0.9888888888888889,0.7901234567901234,0.9888888888888889,0.8148148148148148,0.9851851851851852,0.7530864197530864,0.9888888888888889,0.8518518518518519,0.9851851851851852,0.07164395574449649,0.013678038659946823,0.034928288337366886,0.0015151817973704683
5,0.21593141555786133,0.1261190717870539,0.8047138047138047,0.9885520467419947,gini,auto,60,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 60}",77,0.7682926829268293,0.9876390605686032,0.825,0.9889025893958077,0.7901234567901234,0.9888888888888889,0.7777777777777778,0.9901234567901235,0.7777777777777778,0.991358024691358,0.8888888888888888,0.9876543209876543,0.8024691358024691,0.9888888888888889,0.7530864197530864,0.9888888888888889,0.8024691358024691,0.9864197530864197,0.8148148148148148,0.9888888888888889,0.8518518518518519,0.9864197530864197,0.052054599757029626,0.01967926889590218,0.037535723261116274,0.0014029961517971487
6,0.29484300179914996,0.11173460700295189,0.7957351290684624,0.9881032513486864,gini,auto,70,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 70}",154,0.7804878048780488,0.9876390605686032,0.8125,0.9876695437731196,0.7654320987654321,0.9888888888888889,0.8024691358024691,0.9901234567901235,0.7654320987654321,0.991358024691358,0.9135802469135802,0.9876543209876543,0.8024691358024691,0.9888888888888889,0.7160493827160493,0.9888888888888889,0.8024691358024691,0.9851851851851852,0.7654320987654321,0.9876543209876543,0.8271604938271605,0.9851851851851852,0.06262633927076992,0.008136576846845964,0.04731773359458658,0.0017674668858972656
7,0.3412506797096946,0.12063078446821733,0.8035914702581369,0.9878787844575527,gini,auto,80,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 80}",90,0.7804878048780488,0.9876390605686032,0.8375,0.9876695437731196,0.8024691358024691,0.9876543209876543,0.7901234567901234,0.9901234567901235,0.7654320987654321,0.991358024691358,0.8888888888888888,0.9876543209876543,0.8148148148148148,0.9888888888888889,0.7777777777777778,0.9864197530864197,0.8024691358024691,0.9851851851851852,0.7654320987654321,0.9876543209876543,0.8148148148148148,0.9864197530864197,0.02376147656740293,0.014231389133610241,0.034332687691734365,0.0016495013110373856
8,0.35094666481018066,0.13145386088978162,0.8047138047138047,0.9885520467419947,gini,auto,90,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 90}",77,0.7804878048780488,0.9876390605686032,0.8375,0.9889025893958077,0.7654320987654321,0.9888888888888889,0.7901234567901234,0.9901234567901235,0.8024691358024691,0.991358024691358,0.8641975308641975,0.9876543209876543,0.8271604938271605,0.9888888888888889,0.7654320987654321,0.9888888888888889,0.8148148148148148,0.9864197530864197,0.7654320987654321,0.9888888888888889,0.8395061728395061,0.9864197530864197,0.03586353521375744,0.01794732123155671,0.032832341885827156,0.0014029961517971487
9,0.37991582263599744,0.1308509653264826,0.8035914702581369,0.9884399516853866,gini,auto,100,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 100}",90,0.7560975609756098,0.9876390605686032,0.85,0.9876695437731196,0.8148148148148148,0.9888888888888889,0.7901234567901234,0.9901234567901235,0.7654320987654321,0.991358024691358,0.8518518518518519,0.9876543209876543,0.8148148148148148,0.9888888888888889,0.7530864197530864,0.9888888888888889,0.8024691358024691,0.9864197530864197,0.8024691358024691,0.9888888888888889,0.8395061728395061,0.9864197530864197,0.04176537681476376,0.01780483045233199,0.03367267972046783,0.001419670039788037
