,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_features,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.029732918739318846,0.001933121681213379,0.8058361391694725,0.9748082906292508,gini,auto,10,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 10}",155,0.8,0.9725343320848939,0.8111111111111111,0.9675405742821473,0.7415730337078652,0.9738154613466334,0.8314606741573034,0.9750623441396509,0.8764044943820225,0.9763092269326683,0.8089887640449438,0.9800498753117207,0.7640449438202247,0.9775561097256857,0.7865168539325843,0.9788029925187033,0.8202247191011236,0.9688279301745636,0.8181818181818182,0.9775840597758406,0.005984067135519406,0.0003968871877087796,0.03507481552192395,0.003946461957245652
1,0.04633705615997315,0.002127194404602051,0.7946127946127947,0.9835375621670044,gini,auto,20,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 20}",160,0.7888888888888889,0.978776529338327,0.8222222222222222,0.9775280898876404,0.7415730337078652,0.986284289276808,0.8426966292134831,0.9850374064837906,0.8426966292134831,0.986284289276808,0.797752808988764,0.983790523690773,0.7752808988764045,0.9850374064837906,0.7191011235955056,0.983790523690773,0.7752808988764045,0.983790523690773,0.8409090909090909,0.9850560398505604,0.013004687325340466,0.00043541622698267473,0.04098903109369211,0.0028437127021873954
2,0.07722187042236328,0.003137350082397461,0.8294051627384961,0.9879032097633662,gini,auto,30,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 30}",4,0.8,0.9862671660424469,0.8555555555555555,0.9862671660424469,0.7640449438202247,0.9925187032418953,0.8426966292134831,0.986284289276808,0.8764044943820225,0.9887780548628429,0.8764044943820225,0.9887780548628429,0.8089887640449438,0.9875311720698254,0.7640449438202247,0.9887780548628429,0.8314606741573034,0.9850374064837906,0.875,0.9887920298879203,0.013104816760219929,0.00011207037700609025,0.04142663639752954,0.002017777620213638
3,0.0849999189376831,0.004103922843933105,0.819304152637486,0.9887763390500123,gini,auto,40,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 40}",56,0.8111111111111111,0.9875156054931336,0.8555555555555555,0.9875156054931336,0.7415730337078652,0.9912718204488778,0.8764044943820225,0.9887780548628429,0.8539325842696629,0.9912718204488778,0.8426966292134831,0.9887780548628429,0.8202247191011236,0.9875311720698254,0.7640449438202247,0.9887780548628429,0.797752808988764,0.9875311720698254,0.8295454545454546,0.9887920298879203,0.001825775338475392,0.00019016154222198918,0.04006280338641851,0.0013687545316300805
4,0.10485248565673828,0.004827356338500977,0.8125701459034792,0.9884019632682837,gini,auto,50,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 50}",134,0.8,0.9875156054931336,0.8222222222222222,0.9862671660424469,0.7415730337078652,0.9925187032418953,0.8651685393258427,0.986284289276808,0.8539325842696629,0.9900249376558603,0.8539325842696629,0.9875311720698254,0.7752808988764045,0.986284289276808,0.7528089887640449,0.9900249376558603,0.8202247191011236,0.9875311720698254,0.8409090909090909,0.9900373599003736,0.0017240485472107372,0.0004286531764450217,0.041566828042759824,0.002017889790648172
5,0.12638351917266846,0.005864143371582031,0.8114478114478114,0.9887764951034896,gini,auto,60,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 60}",141,0.8,0.9887640449438202,0.8444444444444444,0.9887640449438202,0.7303370786516854,0.9912718204488778,0.8314606741573034,0.9850374064837906,0.8539325842696629,0.9912718204488778,0.8426966292134831,0.9875311720698254,0.797752808988764,0.9887780548628429,0.7415730337078652,0.9900249376558603,0.8202247191011236,0.986284289276808,0.8522727272727273,0.9900373599003736,0.0018062645066233883,0.00019847335016396625,0.04215388408045043,0.0019324777228663969
6,0.1513340950012207,0.006835436820983887,0.8226711560044894,0.9890258712743826,gini,auto,70,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 70}",34,0.8,0.9887640449438202,0.8777777777777778,0.9875156054931336,0.7303370786516854,0.9912718204488778,0.8764044943820225,0.9887780548628429,0.8651685393258427,0.9912718204488778,0.8539325842696629,0.9887780548628429,0.8202247191011236,0.9875311720698254,0.7752808988764045,0.9900249376558603,0.797752808988764,0.9875311720698254,0.8295454545454546,0.9887920298879203,0.008782980943238192,0.0001411867418720435,0.04547857300350488,0.001344690445667903
7,0.16533024311065675,0.007676959037780762,0.8092031425364759,0.9891508704975077,gini,auto,80,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 80}",149,0.8,0.9887640449438202,0.8555555555555555,0.9887640449438202,0.7303370786516854,0.9925187032418953,0.8539325842696629,0.9887780548628429,0.8426966292134831,0.9912718204488778,0.8314606741573034,0.9887780548628429,0.7865168539325843,0.9875311720698254,0.7528089887640449,0.9900249376558603,0.8202247191011236,0.9875311720698254,0.8181818181818182,0.987546699875467,0.009191035573151611,0.00025029475515978526,0.03996790281277658,0.0015812077623911609
8,0.18912916183471679,0.008707785606384277,0.8204264870931538,0.9892752482206966,gini,auto,90,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 90}",47,0.7888888888888889,0.9887640449438202,0.8444444444444444,0.9887640449438202,0.7303370786516854,0.9925187032418953,0.8651685393258427,0.9887780548628429,0.8651685393258427,0.9887780548628429,0.8651685393258427,0.9887780548628429,0.8202247191011236,0.9887780548628429,0.7640449438202247,0.9900249376558603,0.8202247191011236,0.9875311720698254,0.8409090909090909,0.9900373599003736,0.009824341224237441,0.0002498715534251143,0.0439123120750733,0.001273425030263912
9,0.21764965057373048,0.009332489967346192,0.8103254769921436,0.9893999364999984,gini,auto,100,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 100}",146,0.8111111111111111,0.9887640449438202,0.8666666666666667,0.9887640449438202,0.7303370786516854,0.9912718204488778,0.8651685393258427,0.9887780548628429,0.8202247191011236,0.9912718204488778,0.8426966292134831,0.9887780548628429,0.7865168539325843,0.9887780548628429,0.7415730337078652,0.9900249376558603,0.8089887640449438,0.9875311720698254,0.8295454545454546,0.9900373599003736,0.00820299060919022,0.00015382459459174544,0.044047026722050145,0.0011517830100383696
