,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_AddPoly__degree,param_LR__C,param_LR__penalty,param_LR__solver,params,rank_test_score,split0_test_score,split0_train_score,split10_test_score,split10_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.0064221078699285335,0.0021112832156094637,0.6161616161616161,0.6161616484922875,2,0.001,l1,liblinear,"{'AddPoly__degree': 2, 'LR__C': 0.001, 'LR__penalty': 'l1', 'LR__solver': 'liblinear'}",67,0.6097560975609756,0.6168108776266996,0.6125,0.6165228113440198,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.0011023258989467705,0.00041516112192539436,0.0024516384267728054,0.00024594336285746834
1,0.019070213491266422,0.0029642798683860087,0.6161616161616161,0.6161616484922875,2,0.001,l1,saga,"{'AddPoly__degree': 2, 'LR__C': 0.001, 'LR__penalty': 'l1', 'LR__solver': 'saga'}",67,0.6097560975609756,0.6168108776266996,0.6125,0.6165228113440198,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.0054179005786083876,0.0006362701648268961,0.0024516384267728054,0.00024594336285746834
2,0.008784619244662199,0.0029145154086026278,0.7351290684624018,0.7372594918998231,2,0.01,l1,liblinear,"{'AddPoly__degree': 2, 'LR__C': 0.01, 'LR__penalty': 'l1', 'LR__solver': 'liblinear'}",63,0.7317073170731707,0.73053152039555,0.725,0.7484586929716399,0.654320987654321,0.737037037037037,0.7283950617283951,0.7358024691358025,0.7901234567901234,0.7419753086419754,0.7530864197530864,0.7222222222222222,0.7407407407407407,0.7493827160493827,0.7530864197530864,0.745679012345679,0.7407407407407407,0.7469135802469136,0.7160493827160493,0.7222222222222222,0.7530864197530864,0.7296296296296296,0.0013681845503843131,0.0005576324478971409,0.03177659998124352,0.009613508967563671
3,0.16273262284018777,0.001921545375477184,0.7384960718294051,0.7520773591405715,2,0.01,l1,saga,"{'AddPoly__degree': 2, 'LR__C': 0.01, 'LR__penalty': 'l1', 'LR__solver': 'saga'}",62,0.6707317073170732,0.7589616810877626,0.7625,0.749691738594328,0.654320987654321,0.7604938271604939,0.7407407407407407,0.7518518518518519,0.7530864197530864,0.7506172839506173,0.7283950617283951,0.7530864197530864,0.8024691358024691,0.745679012345679,0.6790123456790124,0.7580246913580246,0.7901234567901234,0.7469135802469136,0.7901234567901234,0.7469135802469136,0.7530864197530864,0.7506172839506173,0.012061969571408237,7.43587595501415e-05,0.04842772148240331,0.004851368420904911
4,0.01138713143088601,0.0021948814392089844,0.8058361391694725,0.8138053534046109,2,0.1,l1,liblinear,"{'AddPoly__degree': 2, 'LR__C': 0.1, 'LR__penalty': 'l1', 'LR__solver': 'liblinear'}",42,0.8048780487804879,0.8108776266996292,0.825,0.8051787916152897,0.7407407407407407,0.8296296296296296,0.8271604938271605,0.8148148148148148,0.8148148148148148,0.8123456790123457,0.8395061728395061,0.8160493827160494,0.8271604938271605,0.8074074074074075,0.7654320987654321,0.8148148148148148,0.7530864197530864,0.8160493827160494,0.8024691358024691,0.8197530864197531,0.8641975308641975,0.8049382716049382,0.0028244478173106912,0.000528150553227608,0.03637833002839529,0.006759311824602808
5,0.29540850899436255,0.0031903223557905717,0.8092031425364759,0.8195299544945459,2,0.1,l1,saga,"{'AddPoly__degree': 2, 'LR__C': 0.1, 'LR__penalty': 'l1', 'LR__solver': 'saga'}",33,0.8048780487804879,0.823238566131026,0.8375,0.8113440197287299,0.7530864197530864,0.8320987654320988,0.8148148148148148,0.8222222222222222,0.8024691358024691,0.817283950617284,0.8395061728395061,0.8246913580246914,0.8271604938271605,0.8123456790123457,0.7901234567901234,0.8209876543209876,0.7530864197530864,0.8160493827160494,0.8148148148148148,0.8222222222222222,0.8641975308641975,0.8123456790123457,0.04047048228694067,0.0035945677002311815,0.03281549410045161,0.0060481887942108094
6,0.041034568439830436,0.0020138783888383346,0.8035914702581369,0.8360281373936325,2,1,l1,liblinear,"{'AddPoly__degree': 2, 'LR__C': 1, 'LR__penalty': 'l1', 'LR__solver': 'liblinear'}",47,0.8048780487804879,0.8405438813349815,0.8375,0.8298397040690506,0.7283950617283951,0.8432098765432099,0.7777777777777778,0.8333333333333334,0.8148148148148148,0.8395061728395061,0.8518518518518519,0.8320987654320988,0.8148148148148148,0.8345679012345679,0.7901234567901234,0.8358024691358025,0.7777777777777778,0.8358024691358025,0.8024691358024691,0.8407407407407408,0.8395061728395061,0.8308641975308642,0.00573551979527614,0.00021265899235397418,0.033272930201379516,0.004223029268689946
7,0.32937121391296387,0.0031750635667280717,0.8125701459034792,0.8338940388654937,2,1,l1,saga,"{'AddPoly__degree': 2, 'LR__C': 1, 'LR__penalty': 'l1', 'LR__solver': 'saga'}",22,0.8414634146341463,0.8318912237330037,0.85,0.8360049321824907,0.7283950617283951,0.8407407407407408,0.8024691358024691,0.8296296296296296,0.8148148148148148,0.8308641975308642,0.8518518518518519,0.8320987654320988,0.8024691358024691,0.8320987654320988,0.7901234567901234,0.8345679012345679,0.7777777777777778,0.8444444444444444,0.8024691358024691,0.8320987654320988,0.8765432098765432,0.828395061728395,0.031832336159752686,0.0037979484012270774,0.039283778497396164,0.004616004847683777
8,1.138636047189886,0.0037977912209250712,0.8069584736251403,0.858024928791739,2,10,l1,liblinear,"{'AddPoly__degree': 2, 'LR__C': 10, 'LR__penalty': 'l1', 'LR__solver': 'liblinear'}",40,0.7926829268292683,0.857849196538937,0.875,0.8557336621454994,0.7654320987654321,0.8617283950617284,0.7901234567901234,0.8592592592592593,0.7901234567901234,0.8654320987654321,0.8765432098765432,0.854320987654321,0.8148148148148148,0.8506172839506173,0.7530864197530864,0.8641975308641975,0.8024691358024691,0.8567901234567902,0.7777777777777778,0.8604938271604938,0.8395061728395061,0.8518518518518519,0.21074536858899728,0.0052731155414184544,0.0390885375084943,0.0045507908050721555
9,0.4717055017297918,0.00276725942438299,0.8125701459034792,0.8358031166045403,2,10,l1,saga,"{'AddPoly__degree': 2, 'LR__C': 10, 'LR__penalty': 'l1', 'LR__solver': 'saga'}",22,0.8170731707317073,0.8393077873918418,0.85,0.8335388409371147,0.7407407407407407,0.8432098765432099,0.8024691358024691,0.837037037037037,0.8024691358024691,0.8358024691358025,0.8395061728395061,0.8271604938271605,0.8148148148148148,0.8395061728395061,0.8024691358024691,0.8345679012345679,0.7777777777777778,0.8395061728395061,0.8148148148148148,0.8345679012345679,0.8765432098765432,0.8296296296296296,0.04436763058324412,0.0017596153279357764,0.034256344341133144,0.0044423166493911485
