,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_activation,param_alpha,param_hidden_layer_sizes,param_solver,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.527594518661499,0.0007357120513916016,0.8035914702581369,0.8863761015697389,logistic,0.0001,"(8,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (8,), 'solver': 'lbfgs'}",270,0.770949720670391,0.8806179775280899,0.7597765363128491,0.9157303370786517,0.8258426966292135,0.8920056100981767,0.8314606741573034,0.8779803646563815,0.8305084745762712,0.865546218487395,0.16694717481519564,3.5965156190519684e-05,0.03158690342059647,0.016916801876276234
1,0.6746179580688476,0.0007850170135498047,0.7890011223344556,0.8092017471060158,logistic,0.0001,"(8,)",adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (8,), 'solver': 'adam'}",464,0.7486033519553073,0.8033707865168539,0.8268156424581006,0.8061797752808989,0.7808988764044944,0.814866760168303,0.7752808988764045,0.8162692847124825,0.8135593220338984,0.8053221288515406,0.018772896604207407,4.403110290981579e-05,0.028029675687062543,0.005295777822366072
2,1.3327797412872315,0.0009918689727783203,0.7822671156004489,0.9099452389493863,logistic,0.0001,"(8, 8)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (8, 8), 'solver': 'lbfgs'}",508,0.7597765363128491,0.9241573033707865,0.7597765363128491,0.9311797752808989,0.797752808988764,0.906030855539972,0.7865168539325843,0.8877980364656382,0.807909604519774,0.9005602240896359,0.15533178584720475,0.00034085163928933255,0.01963100049810819,0.01579105941716472
3,0.7934972763061523,0.0006640434265136718,0.7991021324354658,0.8136925867310222,logistic,0.0001,"(8, 8)",adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (8, 8), 'solver': 'adam'}",340,0.7821229050279329,0.8117977528089888,0.8268156424581006,0.8117977528089888,0.797752808988764,0.8134642356241234,0.7696629213483146,0.8218793828892006,0.8192090395480226,0.8095238095238095,0.12456759396307293,0.00017438505323518177,0.021587743572523323,0.004281010865464819
4,1.7791774272918701,0.0006607532501220703,0.8002244668911336,0.8936727760111405,logistic,0.0001,"(8, 8, 8)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (8, 8, 8), 'solver': 'lbfgs'}",322,0.776536312849162,0.9002808988764045,0.770949720670391,0.9101123595505618,0.8370786516853933,0.8709677419354839,0.7808988764044944,0.9200561009817672,0.8361581920903954,0.8669467787114846,0.14275438630153423,3.876794600053362e-05,0.029788619236590416,0.021165086984445258
5,0.30795702934265134,0.000585174560546875,0.6509539842873177,0.6566112613632055,logistic,0.0001,"(8, 8, 8)",adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (8, 8, 8), 'solver': 'adam'}",868,0.7877094972067039,0.8188202247191011,0.6145251396648045,0.6165730337078652,0.6179775280898876,0.6157082748948106,0.6179775280898876,0.6157082748948106,0.615819209039548,0.6162464985994398,0.5367117882126355,2.1733838036258044e-05,0.06858227257764346,0.08110515414425598
6,0.010730934143066407,0.0006649494171142578,0.6161616161616161,0.6161618231609582,logistic,0.0001,"(8, 8, 8, 8)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (8, 8, 8, 8), 'solver': 'lbfgs'}",875,0.6145251396648045,0.6165730337078652,0.6145251396648045,0.6165730337078652,0.6179775280898876,0.6157082748948106,0.6179775280898876,0.6157082748948106,0.615819209039548,0.6162464985994398,0.000945935396807109,3.759975135294626e-05,0.0015546240413378074,0.00038904246994592466
7,0.17205209732055665,0.0006499290466308594,0.6161616161616161,0.6161618231609582,logistic,0.0001,"(8, 8, 8, 8)",adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (8, 8, 8, 8), 'solver': 'adam'}",875,0.6145251396648045,0.6165730337078652,0.6145251396648045,0.6165730337078652,0.6179775280898876,0.6157082748948106,0.6179775280898876,0.6157082748948106,0.615819209039548,0.6162464985994398,0.07087543748061541,2.4638688602802814e-05,0.0015546240413378074,0.00038904246994592466
8,1.0890013217926025,0.0006235599517822266,0.7800224466891134,0.9113379143043512,logistic,0.0001,"(16,)",lbfgs,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (16,), 'solver': 'lbfgs'}",526,0.7821229050279329,0.901685393258427,0.770949720670391,0.9185393258426966,0.7865168539325843,0.9396914446002805,0.7640449438202247,0.8962131837307152,0.7966101694915254,0.9005602240896359,0.26563018591609716,5.094477854272506e-05,0.011467688267282084,0.016086455496586285
9,0.864566707611084,0.0007911205291748046,0.7946127946127947,0.8122920287140338,logistic,0.0001,"(16,)",adam,"{'activation': 'logistic', 'alpha': 0.0001, 'hidden_layer_sizes': (16,), 'solver': 'adam'}",412,0.7486033519553073,0.8117977528089888,0.8212290502793296,0.8146067415730337,0.797752808988764,0.8134642356241234,0.7865168539325843,0.8162692847124825,0.8192090395480226,0.8053221288515406,0.23205647237974483,0.0004160965960814464,0.026511123147727897,0.0037782097003837057
