,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_decision_function_shape,param_degree,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split10_test_score,split10_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
244,21.281860264864836,0.0011219328100031073,0.8204264870931538,0.8172854243142925,600.0003999999999,ovr,,linear,"{'C': 600.0003999999999, 'decision_function_shape': 'ovr', 'kernel': 'linear'}",33,0.8170731707317073,0.8244746600741656,0.85,0.8113440197287299,0.8395061728395061,0.8135802469135802,0.8271604938271605,0.8185185185185185,0.7901234567901234,0.8160493827160494,0.8765432098765432,0.8098765432098766,0.8024691358024691,0.8222222222222222,0.7901234567901234,0.8148148148148148,0.7777777777777778,0.825925925925926,0.7901234567901234,0.8222222222222222,0.8641975308641975,0.8111111111111111,10.599879212453917,2.293894723764823e-05,0.03197406717908736,0.005446281870126821
245,0.019862218336625534,0.001609173688021573,0.7070707070707071,0.7124575559652176,600.0003999999999,ovr,,sigmoid,"{'C': 600.0003999999999, 'decision_function_shape': 'ovr', 'kernel': 'sigmoid'}",245,0.6951219512195121,0.7119901112484549,0.65,0.7151664611590629,0.7283950617283951,0.7148148148148148,0.7160493827160493,0.7135802469135802,0.7037037037037037,0.7098765432098766,0.7654320987654321,0.7086419753086419,0.7037037037037037,0.7135802469135802,0.7160493827160493,0.7012345679012346,0.7407407407407407,0.7111111111111111,0.691358024691358,0.7086419753086419,0.6666666666666666,0.7283950617283951,0.0016709597829055137,0.00026637813697314285,0.030776500991700224,0.006275389261705517
246,0.22494001822038132,0.0018661022186279297,0.8159371492704826,0.914142775792974,650.0003499999999,ovo,,rbf,"{'C': 650.0003499999999, 'decision_function_shape': 'ovo', 'kernel': 'rbf'}",103,0.7560975609756098,0.9196538936959209,0.875,0.9075215782983971,0.7901234567901234,0.9111111111111111,0.7654320987654321,0.9209876543209876,0.7901234567901234,0.917283950617284,0.9012345679012346,0.9061728395061729,0.8271604938271605,0.9185185185185185,0.7901234567901234,0.9197530864197531,0.8271604938271605,0.908641975308642,0.8024691358024691,0.9148148148148149,0.8518518518518519,0.9111111111111111,0.04929961350357205,4.424564397089461e-05,0.04329493666109937,0.005171311036417454
247,21.261903502724387,0.0011224096471613104,0.8204264870931538,0.817060957423159,650.0003499999999,ovo,,linear,"{'C': 650.0003499999999, 'decision_function_shape': 'ovo', 'kernel': 'linear'}",33,0.8170731707317073,0.8244746600741656,0.85,0.8113440197287299,0.8395061728395061,0.8135802469135802,0.8271604938271605,0.8185185185185185,0.7901234567901234,0.8160493827160494,0.8765432098765432,0.8098765432098766,0.8024691358024691,0.8197530864197531,0.7901234567901234,0.8148148148148148,0.7777777777777778,0.825925925925926,0.7901234567901234,0.8222222222222222,0.8641975308641975,0.8111111111111111,11.455639353442239,4.552984448223592e-05,0.03197406717908736,0.00528673289508071
248,0.022793574766679245,0.0017466978593306108,0.7070707070707071,0.7125697894107845,650.0003499999999,ovo,,sigmoid,"{'C': 650.0003499999999, 'decision_function_shape': 'ovo', 'kernel': 'sigmoid'}",245,0.6951219512195121,0.7119901112484549,0.65,0.7151664611590629,0.7283950617283951,0.7148148148148148,0.7160493827160493,0.7160493827160493,0.7037037037037037,0.7098765432098766,0.7654320987654321,0.7086419753086419,0.691358024691358,0.7185185185185186,0.7160493827160493,0.7012345679012346,0.7407407407407407,0.7111111111111111,0.691358024691358,0.7086419753086419,0.6790123456790124,0.7222222222222222,0.006563408245365659,0.00039467344729634813,0.029862503069157546,0.005406286644812697
249,0.21860153024846857,0.0019278092817826705,0.8159371492704826,0.914142775792974,650.0003499999999,ovr,,rbf,"{'C': 650.0003499999999, 'decision_function_shape': 'ovr', 'kernel': 'rbf'}",103,0.7560975609756098,0.9196538936959209,0.875,0.9075215782983971,0.7901234567901234,0.9111111111111111,0.7654320987654321,0.9209876543209876,0.7901234567901234,0.917283950617284,0.9012345679012346,0.9061728395061729,0.8271604938271605,0.9185185185185185,0.7901234567901234,0.9197530864197531,0.8271604938271605,0.908641975308642,0.8024691358024691,0.9148148148148149,0.8518518518518519,0.9111111111111111,0.029663735037162284,0.00010852937986875904,0.04329493666109937,0.005171311036417454
250,21.51840504732999,0.00112483718178489,0.8204264870931538,0.817060957423159,650.0003499999999,ovr,,linear,"{'C': 650.0003499999999, 'decision_function_shape': 'ovr', 'kernel': 'linear'}",33,0.8170731707317073,0.8244746600741656,0.85,0.8113440197287299,0.8395061728395061,0.8135802469135802,0.8271604938271605,0.8185185185185185,0.7901234567901234,0.8160493827160494,0.8765432098765432,0.8098765432098766,0.8024691358024691,0.8197530864197531,0.7901234567901234,0.8148148148148148,0.7777777777777778,0.825925925925926,0.7901234567901234,0.8222222222222222,0.8641975308641975,0.8111111111111111,11.27403173470221,1.5082497303732552e-05,0.03197406717908736,0.00528673289508071
251,0.019909685308283024,0.0015618150884454901,0.7070707070707071,0.7125697894107845,650.0003499999999,ovr,,sigmoid,"{'C': 650.0003499999999, 'decision_function_shape': 'ovr', 'kernel': 'sigmoid'}",245,0.6951219512195121,0.7119901112484549,0.65,0.7151664611590629,0.7283950617283951,0.7148148148148148,0.7160493827160493,0.7160493827160493,0.7037037037037037,0.7098765432098766,0.7654320987654321,0.7086419753086419,0.691358024691358,0.7185185185185186,0.7160493827160493,0.7012345679012346,0.7407407407407407,0.7111111111111111,0.691358024691358,0.7086419753086419,0.6790123456790124,0.7222222222222222,0.0013199005233616216,4.8089370831739515e-05,0.029862503069157546,0.005406286644812697
252,0.2543599605560303,0.0018989823081276634,0.8181818181818182,0.914703389464973,700.0002999999999,ovo,,rbf,"{'C': 700.0002999999999, 'decision_function_shape': 'ovo', 'kernel': 'rbf'}",85,0.7682926829268293,0.9196538936959209,0.875,0.9124537607891492,0.8024691358024691,0.9111111111111111,0.7654320987654321,0.9209876543209876,0.7901234567901234,0.917283950617284,0.9012345679012346,0.908641975308642,0.8271604938271605,0.9185185185185185,0.7901234567901234,0.9185185185185185,0.8271604938271605,0.9074074074074074,0.8024691358024691,0.9160493827160494,0.8518518518518519,0.9111111111111111,0.04961851987883731,5.1065255947249004e-05,0.04128792477163418,0.004496693153515188
253,20.500082102688875,0.0011226914145729759,0.8204264870931538,0.8172854243142925,700.0002999999999,ovo,,linear,"{'C': 700.0002999999999, 'decision_function_shape': 'ovo', 'kernel': 'linear'}",33,0.8170731707317073,0.8244746600741656,0.85,0.8113440197287299,0.8395061728395061,0.8135802469135802,0.8271604938271605,0.8185185185185185,0.7901234567901234,0.817283950617284,0.8765432098765432,0.8098765432098766,0.8024691358024691,0.8209876543209876,0.7901234567901234,0.8148148148148148,0.7777777777777778,0.825925925925926,0.7901234567901234,0.8222222222222222,0.8641975308641975,0.8111111111111111,5.332824606560453,3.293668431516754e-05,0.03197406717908736,0.005343548234472906
