,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_penalty,param_solver,params,rank_test_score,split0_test_score,split0_train_score,split10_test_score,split10_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.0022141716696999288,0.0004123557697642933,0.6161616161616161,0.6161616484922875,0.001,l1,liblinear,"{'C': 0.001, 'penalty': 'l1', 'solver': 'liblinear'}",34,0.6097560975609756,0.6168108776266996,0.6125,0.6165228113440198,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.0005021424236073662,0.00010163036954947156,0.0024516384267728054,0.00024594336285746834
1,0.10821765119379217,0.0004276795820756392,0.6161616161616161,0.6161616484922875,0.001,l1,saga,"{'C': 0.001, 'penalty': 'l1', 'solver': 'saga'}",34,0.6097560975609756,0.6168108776266996,0.6125,0.6165228113440198,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.0022887410934975387,9.241289431329074e-05,0.0024516384267728054,0.00024594336285746834
2,0.00282950834794478,0.00041309269991788,0.6195286195286195,0.6282871623034211,0.01,l1,liblinear,"{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear'}",32,0.6097560975609756,0.6588380716934487,0.6125,0.6202219482120839,0.6172839506172839,0.6481481481481481,0.6296296296296297,0.6185185185185185,0.6172839506172839,0.6197530864197531,0.6296296296296297,0.6246913580246913,0.6172839506172839,0.6197530864197531,0.6049382716049383,0.6469135802469136,0.6172839506172839,0.6172839506172839,0.6296296296296297,0.6185185185185185,0.6296296296296297,0.6185185185185185,0.000568518213713641,0.00010160310736219811,0.00845644912214004,0.0144780351800208
3,0.11243633790449663,0.00035266442732377487,0.6195286195286195,0.6195286528856616,0.01,l1,saga,"{'C': 0.01, 'penalty': 'l1', 'solver': 'saga'}",32,0.6097560975609756,0.6205191594561187,0.6125,0.6202219482120839,0.6172839506172839,0.6197530864197531,0.6296296296296297,0.6185185185185185,0.6172839506172839,0.6197530864197531,0.6172839506172839,0.6197530864197531,0.6172839506172839,0.6197530864197531,0.6172839506172839,0.6197530864197531,0.6172839506172839,0.6197530864197531,0.6296296296296297,0.6185185185185185,0.6296296296296297,0.6185185185185185,0.005737829655438388,9.91740432994417e-05,0.006618124348106693,0.0006623030384511223
4,0.008567289872602983,0.000302986665205522,0.7912457912457912,0.7983167196704076,0.1,l1,liblinear,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",25,0.7439024390243902,0.799752781211372,0.7875,0.7977805178791615,0.7654320987654321,0.7987654320987654,0.8148148148148148,0.8,0.8271604938271605,0.8,0.8395061728395061,0.7975308641975308,0.7777777777777778,0.7987654320987654,0.7530864197530864,0.7987654320987654,0.7777777777777778,0.7975308641975308,0.8024691358024691,0.7962962962962963,0.8148148148148148,0.7962962962962963,0.006162261326855509,5.90412054339925e-05,0.029578974219027592,0.0012799161139507307
5,0.11497827009721236,0.0003491531718860973,0.8002244668911336,0.8038175454718792,0.1,l1,saga,"{'C': 0.1, 'penalty': 'l1', 'solver': 'saga'}",15,0.7926829268292683,0.8108776266996292,0.7875,0.7965474722564735,0.7530864197530864,0.8148148148148148,0.8148148148148148,0.8098765432098766,0.8271604938271605,0.7987654320987654,0.8641975308641975,0.8012345679012346,0.7901234567901234,0.8037037037037037,0.7777777777777778,0.8037037037037037,0.7654320987654321,0.8,0.7901234567901234,0.8,0.8395061728395061,0.8024691358024691,0.006742968239443926,7.201470853646442e-05,0.03152479874383565,0.005423326353881942
6,0.04376595670526678,0.00035457177595658737,0.8035914702581369,0.8157131849587814,1,l1,liblinear,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",1,0.7682926829268293,0.8158220024721878,0.8125,0.8113440197287299,0.7160493827160493,0.8222222222222222,0.8271604938271605,0.8123456790123457,0.7901234567901234,0.8160493827160494,0.8641975308641975,0.8135802469135802,0.8271604938271605,0.8160493827160494,0.7901234567901234,0.8185185185185185,0.7654320987654321,0.8185185185185185,0.8395061728395061,0.8135802469135802,0.8395061728395061,0.8148148148148148,0.019392513370040818,7.507407087291471e-05,0.040660593866737545,0.002995160906385168
7,0.11453838781876997,0.00036998228593306106,0.8024691358024691,0.8158251409421837,1,l1,saga,"{'C': 1, 'penalty': 'l1', 'solver': 'saga'}",8,0.7682926829268293,0.8133498145859085,0.8125,0.8113440197287299,0.7160493827160493,0.8234567901234567,0.8271604938271605,0.8111111111111111,0.7901234567901234,0.8185185185185185,0.8641975308641975,0.8135802469135802,0.8271604938271605,0.817283950617284,0.7901234567901234,0.8185185185185185,0.7654320987654321,0.817283950617284,0.8271604938271605,0.8135802469135802,0.8395061728395061,0.8160493827160494,0.00735391454853091,7.911427375834621e-05,0.0398153691877308,0.003510581847917525
8,0.06056787750937722,0.00035582889210094106,0.8002244668911336,0.8162743532129859,10,l1,liblinear,"{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}",15,0.7926829268292683,0.8195302843016069,0.8,0.815043156596794,0.7283950617283951,0.825925925925926,0.8271604938271605,0.8160493827160494,0.7901234567901234,0.817283950617284,0.8765432098765432,0.8123456790123457,0.8148148148148148,0.8160493827160494,0.7654320987654321,0.8148148148148148,0.7654320987654321,0.8135802469135802,0.8271604938271605,0.8135802469135802,0.8148148148148148,0.8148148148148148,0.016907989941460918,8.382009895466706e-05,0.03746700911107136,0.0035751885101441214
9,0.10942573980851607,0.0003384893590753729,0.7991021324354658,0.8145908511873607,10,l1,saga,"{'C': 10, 'penalty': 'l1', 'solver': 'saga'}",17,0.7804878048780488,0.8182941903584673,0.8,0.813810110974106,0.7160493827160493,0.8271604938271605,0.8271604938271605,0.8135802469135802,0.7901234567901234,0.8123456790123457,0.8641975308641975,0.8148148148148148,0.8148148148148148,0.8160493827160494,0.7654320987654321,0.8098765432098766,0.7654320987654321,0.8135802469135802,0.8271604938271605,0.8074074074074075,0.8395061728395061,0.8135802469135802,0.0061814695773905505,7.233730496574776e-05,0.039644573557018024,0.0048282218791003036
