,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_penalty,param_solver,params,rank_test_score,split0_test_score,split0_train_score,split10_test_score,split10_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.002300154079090465,0.0004459294405850497,0.6161616161616161,0.6161616484922875,0.001,l1,liblinear,"{'C': 0.001, 'penalty': 'l1', 'solver': 'liblinear'}",34,0.6097560975609756,0.6168108776266996,0.6125,0.6165228113440198,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.00042893562380720855,9.307474871074254e-05,0.0024516384267728054,0.00024594336285746834
1,0.10775908556851474,0.00037123940207741475,0.6161616161616161,0.6161616484922875,0.001,l1,saga,"{'C': 0.001, 'penalty': 'l1', 'solver': 'saga'}",34,0.6097560975609756,0.6168108776266996,0.6125,0.6165228113440198,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.6172839506172839,0.6160493827160494,0.0012565403358751506,7.9496481960366e-05,0.0024516384267728054,0.00024594336285746834
2,0.0024941184303977275,0.0003492181951349432,0.6195286195286195,0.6281749288578543,0.01,l1,liblinear,"{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear'}",32,0.6097560975609756,0.6588380716934487,0.6125,0.6202219482120839,0.6172839506172839,0.6469135802469136,0.6296296296296297,0.6185185185185185,0.6172839506172839,0.6197530864197531,0.6296296296296297,0.6246913580246913,0.6172839506172839,0.6197530864197531,0.6049382716049383,0.6469135802469136,0.6172839506172839,0.6172839506172839,0.6296296296296297,0.6185185185185185,0.6296296296296297,0.6185185185185185,0.000900162302762418,0.00014101666398802008,0.00845644912214004,0.014327642248100153
3,0.10811112143776634,0.00031185150146484375,0.6195286195286195,0.6195286528856616,0.01,l1,saga,"{'C': 0.01, 'penalty': 'l1', 'solver': 'saga'}",32,0.6097560975609756,0.6205191594561187,0.6125,0.6202219482120839,0.6172839506172839,0.6197530864197531,0.6296296296296297,0.6185185185185185,0.6172839506172839,0.6197530864197531,0.6172839506172839,0.6197530864197531,0.6172839506172839,0.6197530864197531,0.6172839506172839,0.6197530864197531,0.6172839506172839,0.6197530864197531,0.6296296296296297,0.6185185185185185,0.6296296296296297,0.6185185185185185,0.004008304923029754,4.169655230483221e-05,0.006618124348106693,0.0006623030384511223
4,0.006355415691028942,0.0002491474151611328,0.7934904601571269,0.7964094437248133,0.1,l1,liblinear,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",25,0.7682926829268293,0.8022249690976514,0.7875,0.7940813810110974,0.7654320987654321,0.8024691358024691,0.8024691358024691,0.7950617283950617,0.8395061728395061,0.7901234567901234,0.8395061728395061,0.7925925925925926,0.7777777777777778,0.8012345679012346,0.7530864197530864,0.7975308641975308,0.7901234567901234,0.7975308641975308,0.8024691358024691,0.7987654320987654,0.8024691358024691,0.7888888888888889,0.005380996180197469,7.970899123213369e-05,0.026684918920178515,0.00446974493562792
5,0.10882368954745206,0.00031139633872292257,0.7968574635241302,0.797867785546017,0.1,l1,saga,"{'C': 0.1, 'penalty': 'l1', 'solver': 'saga'}",24,0.7926829268292683,0.7985166872682324,0.7875,0.7965474722564735,0.7530864197530864,0.8061728395061728,0.8148148148148148,0.7962962962962963,0.8271604938271605,0.7962962962962963,0.8395061728395061,0.7950617283950617,0.7901234567901234,0.7987654320987654,0.7654320987654321,0.7987654320987654,0.7654320987654321,0.7975308641975308,0.7901234567901234,0.7975308641975308,0.8395061728395061,0.7950617283950617,0.0024377574998333458,5.799330209994866e-05,0.02854723836600501,0.0029180295804940725
6,0.021480798721313477,0.00024509429931640625,0.8080808080808081,0.8149271346465672,1,l1,liblinear,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",14,0.7926829268292683,0.8121137206427689,0.8125,0.8113440197287299,0.7654320987654321,0.8148148148148148,0.8148148148148148,0.8222222222222222,0.8148148148148148,0.817283950617284,0.8518518518518519,0.8135802469135802,0.8271604938271605,0.8123456790123457,0.7901234567901234,0.817283950617284,0.7530864197530864,0.817283950617284,0.8271604938271605,0.8123456790123457,0.8395061728395061,0.8135802469135802,0.007507172115643745,3.9123900407344846e-05,0.028836990055248705,0.0031276583373217965
7,0.10732689770785245,0.00034982507879083806,0.8080808080808081,0.8150393684342575,1,l1,saga,"{'C': 1, 'penalty': 'l1', 'solver': 'saga'}",14,0.7926829268292683,0.8133498145859085,0.8125,0.812577065351418,0.7654320987654321,0.8160493827160494,0.8148148148148148,0.8185185185185185,0.8148148148148148,0.8160493827160494,0.8518518518518519,0.8123456790123457,0.8271604938271605,0.8148148148148148,0.7901234567901234,0.8160493827160494,0.7530864197530864,0.8160493827160494,0.8271604938271605,0.8148148148148148,0.8395061728395061,0.8148148148148148,0.004045109235778364,5.1304492519280956e-05,0.028836990055248705,0.0017191373383836771
8,0.030917557803067295,0.00027379122647372157,0.8114478114478114,0.8199776420919368,10,l1,liblinear,"{'C': 10, 'penalty': 'l1', 'solver': 'liblinear'}",4,0.8048780487804879,0.8207663782447466,0.825,0.8199753390875463,0.7654320987654321,0.8197530864197531,0.8148148148148148,0.8222222222222222,0.8148148148148148,0.8234567901234567,0.8641975308641975,0.8185185185185185,0.8148148148148148,0.817283950617284,0.7777777777777778,0.8197530864197531,0.7654320987654321,0.8222222222222222,0.8395061728395061,0.8148148148148148,0.8395061728395061,0.8209876543209876,0.010184042623100834,4.201819133419985e-05,0.030128117558681625,0.0023347890118716177
9,0.10720101269808682,0.0003748156807639382,0.8092031425364759,0.8200902910465033,10,l1,saga,"{'C': 10, 'penalty': 'l1', 'solver': 'saga'}",10,0.8048780487804879,0.8220024721878862,0.825,0.8175092478421702,0.7530864197530864,0.8209876543209876,0.8148148148148148,0.825925925925926,0.8148148148148148,0.8246913580246914,0.8641975308641975,0.8185185185185185,0.8148148148148148,0.817283950617284,0.7777777777777778,0.8197530864197531,0.7654320987654321,0.817283950617284,0.8395061728395061,0.8160493827160494,0.8271604938271605,0.8209876543209876,0.003231102993912402,0.0002455351596646645,0.031155821272254965,0.0030423884666356095
