,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_loss,param_max_features,param_n_estimators,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split10_test_score,split10_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.014035831798206676,0.0005644668232310902,0.8013468013468014,0.8093137993058587,friedman_mse,deviance,auto,10,0.1,"{'criterion': 'friedman_mse', 'loss': 'deviance', 'max_features': 'auto', 'n_estimators': 10, 'subsample': 0.1}",4620,0.7317073170731707,0.8034610630407911,0.8375,0.8175092478421702,0.7777777777777778,0.8197530864197531,0.8024691358024691,0.8135802469135802,0.7777777777777778,0.8234567901234567,0.8395061728395061,0.7938271604938272,0.8395061728395061,0.8061728395061728,0.8024691358024691,0.8111111111111111,0.8148148148148148,0.8185185185185185,0.7777777777777778,0.7938271604938272,0.8148148148148148,0.8012345679012346,0.0041104873987254775,0.00017370819454659719,0.031829822092451436,0.00986911682450379
1,0.014789733019742098,0.000452301718971946,0.8103254769921436,0.8313115607951702,friedman_mse,deviance,auto,10,0.2,"{'criterion': 'friedman_mse', 'loss': 'deviance', 'max_features': 'auto', 'n_estimators': 10, 'subsample': 0.2}",4362,0.7439024390243902,0.8257107540173053,0.8375,0.8397040690505548,0.8024691358024691,0.8209876543209876,0.8148148148148148,0.8308641975308642,0.8024691358024691,0.8345679012345679,0.8641975308641975,0.8308641975308642,0.7901234567901234,0.8209876543209876,0.7901234567901234,0.8345679012345679,0.8271604938271605,0.837037037037037,0.7901234567901234,0.8407407407407408,0.8518518518518519,0.828395061728395,0.0037524770917777873,0.0001427867083302094,0.03229670167378569,0.006514135500437499
2,0.014565424485640093,0.00035806135697798294,0.8159371492704826,0.8393947259358832,friedman_mse,deviance,auto,10,0.30000000000000004,"{'criterion': 'friedman_mse', 'loss': 'deviance', 'max_features': 'auto', 'n_estimators': 10, 'subsample': 0.30000000000000004}",3969,0.8048780487804879,0.8417799752781211,0.7875,0.8347718865598027,0.8024691358024691,0.8345679012345679,0.8024691358024691,0.837037037037037,0.7901234567901234,0.8493827160493828,0.8518518518518519,0.8345679012345679,0.8024691358024691,0.8320987654320988,0.8148148148148148,0.8419753086419753,0.8024691358024691,0.8506172839506173,0.8148148148148148,0.8395061728395061,0.9012345679012346,0.837037037037037,0.003884772444962605,7.728031286107722e-05,0.03145333124242053,0.005802683922063795
3,0.01575569673018022,0.0004986199465664951,0.819304152637486,0.8418641402268872,friedman_mse,deviance,auto,10,0.4,"{'criterion': 'friedman_mse', 'loss': 'deviance', 'max_features': 'auto', 'n_estimators': 10, 'subsample': 0.4}",3534,0.7804878048780488,0.8479604449938195,0.8,0.8384710234278668,0.7901234567901234,0.8345679012345679,0.8024691358024691,0.8506172839506173,0.8518518518518519,0.8481481481481481,0.8765432098765432,0.8333333333333334,0.8395061728395061,0.8444444444444444,0.8271604938271605,0.8481481481481481,0.7901234567901234,0.8395061728395061,0.8024691358024691,0.8382716049382716,0.8518518518518519,0.837037037037037,0.002673940691336063,0.0002013346316778285,0.03019343746907857,0.005867539319533464
4,0.017649043690074574,0.0004197250713001598,0.8114478114478114,0.8409643328220656,friedman_mse,deviance,auto,10,0.5,"{'criterion': 'friedman_mse', 'loss': 'deviance', 'max_features': 'auto', 'n_estimators': 10, 'subsample': 0.5}",4305,0.7439024390243902,0.8393077873918418,0.825,0.8471023427866831,0.7654320987654321,0.8382716049382716,0.8271604938271605,0.8432098765432099,0.8024691358024691,0.8395061728395061,0.8765432098765432,0.8382716049382716,0.8518518518518519,0.8444444444444444,0.7901234567901234,0.8345679012345679,0.8024691358024691,0.8444444444444444,0.7901234567901234,0.8481481481481481,0.8518518518518519,0.8333333333333334,0.002457109710056792,7.167103192610302e-05,0.0378243606714779,0.004642350696057399
5,0.0181037729436701,0.0005501400340687145,0.8125701459034792,0.846577946993433,friedman_mse,deviance,auto,10,0.6000000000000001,"{'criterion': 'friedman_mse', 'loss': 'deviance', 'max_features': 'auto', 'n_estimators': 10, 'subsample': 0.6000000000000001}",4251,0.8048780487804879,0.8553770086526576,0.8125,0.8458692971639951,0.7777777777777778,0.8481481481481481,0.8148148148148148,0.8493827160493828,0.7901234567901234,0.8444444444444444,0.8641975308641975,0.837037037037037,0.8148148148148148,0.8432098765432099,0.7777777777777778,0.8493827160493828,0.7901234567901234,0.8481481481481481,0.8148148148148148,0.8432098765432099,0.8765432098765432,0.8481481481481481,0.0019378263018966688,0.00023406191003613085,0.030543091114103735,0.0044652630749614985
6,0.01951564442027699,0.0004149783741344105,0.8237934904601572,0.8430970460921224,friedman_mse,deviance,auto,10,0.7000000000000001,"{'criterion': 'friedman_mse', 'loss': 'deviance', 'max_features': 'auto', 'n_estimators': 10, 'subsample': 0.7000000000000001}",2634,0.8292682926829268,0.8430160692212608,0.825,0.8483353884093712,0.7901234567901234,0.837037037037037,0.8395061728395061,0.8469135802469135,0.7901234567901234,0.8506172839506173,0.8765432098765432,0.8320987654320988,0.8271604938271605,0.8407407407407408,0.8148148148148148,0.845679012345679,0.7777777777777778,0.837037037037037,0.8024691358024691,0.8469135802469135,0.8888888888888888,0.845679012345679,0.0033874481595502826,5.217781590067278e-05,0.0333440507938505,0.005447497358621334
7,0.01819634437561035,0.0004649595780806108,0.8249158249158249,0.846015531527982,friedman_mse,deviance,auto,10,0.8,"{'criterion': 'friedman_mse', 'loss': 'deviance', 'max_features': 'auto', 'n_estimators': 10, 'subsample': 0.8}",2370,0.8170731707317073,0.8454882571075402,0.825,0.8471023427866831,0.7654320987654321,0.8506172839506173,0.8395061728395061,0.8518518518518519,0.8024691358024691,0.8530864197530864,0.8765432098765432,0.8345679012345679,0.8765432098765432,0.8419753086419753,0.8024691358024691,0.845679012345679,0.7777777777777778,0.8419753086419753,0.8148148148148148,0.8481481481481481,0.8765432098765432,0.845679012345679,0.0005432733416072031,0.00019045521593981414,0.037101041067655764,0.005001499619124232
8,0.01854497736150568,0.00040747902610085225,0.8181818181818182,0.8437710003213584,friedman_mse,deviance,auto,10,0.9,"{'criterion': 'friedman_mse', 'loss': 'deviance', 'max_features': 'auto', 'n_estimators': 10, 'subsample': 0.9}",3688,0.8292682926829268,0.8430160692212608,0.85,0.843403205918619,0.7654320987654321,0.8530864197530864,0.8395061728395061,0.8395061728395061,0.7777777777777778,0.8481481481481481,0.8641975308641975,0.825925925925926,0.8395061728395061,0.8444444444444444,0.7777777777777778,0.8506172839506173,0.7901234567901234,0.8432098765432099,0.7901234567901234,0.8506172839506173,0.8765432098765432,0.8395061728395061,0.001172182884126633,4.5045392410973785e-05,0.0371475295870274,0.0071093883447392045
9,0.018282825296575374,0.0004856152967973189,0.8271604938271605,0.8443334144183153,friedman_mse,deviance,auto,10,1.0,"{'criterion': 'friedman_mse', 'loss': 'deviance', 'max_features': 'auto', 'n_estimators': 10, 'subsample': 1.0}",1835,0.8292682926829268,0.8479604449938195,0.85,0.8372379778051788,0.8024691358024691,0.8432098765432099,0.8395061728395061,0.8481481481481481,0.7901234567901234,0.854320987654321,0.8765432098765432,0.8345679012345679,0.8395061728395061,0.8419753086419753,0.8271604938271605,0.8407407407407408,0.7901234567901234,0.8481481481481481,0.8148148148148148,0.8419753086419753,0.8395061728395061,0.8493827160493828,0.0013847899831013841,0.0001752872585031399,0.025083793866022854,0.005547384637244489
