,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_criterion,param_max_features,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split10_test_score,split10_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.13777240839871494,0.10262981328097256,0.8058361391694725,0.9713807413159187,gini,auto,10,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 10}",143,0.8048780487804879,0.9752781211372065,0.8125,0.9728729963008631,0.8271604938271605,0.9728395061728395,0.7777777777777778,0.971604938271605,0.7901234567901234,0.971604938271605,0.8518518518518519,0.9703703703703703,0.8765432098765432,0.971604938271605,0.7407407407407407,0.9728395061728395,0.8024691358024691,0.9679012345679012,0.7530864197530864,0.9728395061728395,0.8271604938271605,0.9654320987654321,0.010559249027016226,0.00032597155914439174,0.038300985602007516,0.0025666627927793746
1,0.14669069376858798,0.10412478446960449,0.8159371492704826,0.9808089070363515,gini,auto,20,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 20}",55,0.7926829268292683,0.9851668726823238,0.8375,0.9778051787916153,0.8148148148148148,0.9851851851851852,0.7777777777777778,0.9851851851851852,0.7777777777777778,0.9839506172839506,0.8765432098765432,0.9876543209876543,0.8395061728395061,0.9765432098765432,0.7901234567901234,0.9790123456790123,0.8148148148148148,0.9753086419753086,0.8148148148148148,0.9777777777777777,0.8395061728395061,0.9753086419753086,0.013606447767415196,0.0009560844192589682,0.029190821158742556,0.004412433726431989
2,0.14490160075100986,0.10480525276877663,0.8148148148148148,0.9843989920364066,gini,auto,30,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 30}",61,0.7804878048780488,0.9802224969097652,0.825,0.9852034525277436,0.8395061728395061,0.9851851851851852,0.7901234567901234,0.9876543209876543,0.7901234567901234,0.9851851851851852,0.8765432098765432,0.9851851851851852,0.8395061728395061,0.9864197530864197,0.7407407407407407,0.9839506172839506,0.8148148148148148,0.9814814814814815,0.8024691358024691,0.9851851851851852,0.8641975308641975,0.9827160493827161,0.00510301428548196,0.003319209783130557,0.03768582158073145,0.002062401786711945
3,0.1803403767672452,0.10339502854780717,0.8125701459034792,0.9882153467474178,gini,auto,40,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 40}",81,0.7926829268292683,0.9888751545117429,0.8625,0.9901356350184957,0.8518518518518519,0.9876543209876543,0.7901234567901234,0.9901234567901235,0.8024691358024691,0.9901234567901235,0.9012345679012346,0.9864197530864197,0.7901234567901234,0.9901234567901235,0.7530864197530864,0.9876543209876543,0.8024691358024691,0.9851851851851852,0.7901234567901234,0.9888888888888889,0.8024691358024691,0.9851851851851852,0.008827327379939777,0.0005816048109655629,0.04002612270567081,0.0018516964884711556
4,0.18521211364052512,0.10704827308654785,0.813692480359147,0.9891129368497875,gini,auto,50,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 50}",68,0.7926829268292683,0.9864029666254636,0.8625,0.9901356350184957,0.8518518518518519,0.9888888888888889,0.8024691358024691,0.991358024691358,0.8148148148148148,0.991358024691358,0.9012345679012346,0.9876543209876543,0.7777777777777778,0.9901234567901235,0.7777777777777778,0.9901234567901235,0.7777777777777778,0.9864197530864197,0.8024691358024691,0.9901234567901235,0.7901234567901234,0.9876543209876543,0.019713109376501753,0.004376709320007742,0.03884427288805084,0.0017344817769888647
5,0.21235554868524725,0.10648679733276367,0.8080808080808081,0.9886640030675203,gini,auto,60,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 60}",122,0.7560975609756098,0.9864029666254636,0.85,0.9901356350184957,0.8148148148148148,0.9888888888888889,0.7901234567901234,0.991358024691358,0.7901234567901234,0.991358024691358,0.9135802469135802,0.9888888888888889,0.8024691358024691,0.9901234567901235,0.7654320987654321,0.9876543209876543,0.7777777777777778,0.9851851851851852,0.8148148148148148,0.9876543209876543,0.8148148148148148,0.9876543209876543,0.04192677866083549,0.006850784340578206,0.04172521122055509,0.0018874030116017954
6,0.28621435165405273,0.10868683728304776,0.8069584736251403,0.989562148094219,gini,auto,70,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 70}",134,0.7804878048780488,0.9888751545117429,0.85,0.9901356350184957,0.8271604938271605,0.9888888888888889,0.7901234567901234,0.991358024691358,0.7777777777777778,0.991358024691358,0.9012345679012346,0.9888888888888889,0.7901234567901234,0.9901234567901235,0.7530864197530864,0.9901234567901235,0.7901234567901234,0.9876543209876543,0.8271604938271605,0.9901234567901235,0.7901234567901234,0.9876543209876543,0.047367252261538144,0.006062221568828092,0.0394630507909803,0.0012203784713800366
7,0.29997992515563965,0.11980988762595436,0.8159371492704826,0.9893376808609623,gini,auto,80,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 80}",55,0.7560975609756098,0.9876390605686032,0.8375,0.9889025893958077,0.8641975308641975,0.9888888888888889,0.7777777777777778,0.991358024691358,0.8148148148148148,0.991358024691358,0.9259259259259259,0.9888888888888889,0.8148148148148148,0.9901234567901235,0.7530864197530864,0.9901234567901235,0.7901234567901234,0.9876543209876543,0.8271604938271605,0.9901234567901235,0.8148148148148148,0.9876543209876543,0.06920220097663711,0.02629918470765386,0.047398922227543876,0.001319805588085899
8,0.31797185811129486,0.11968406763943759,0.8092031425364759,0.989562148094219,gini,auto,90,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 90}",111,0.7682926829268293,0.9888751545117429,0.85,0.9901356350184957,0.8271604938271605,0.9888888888888889,0.7777777777777778,0.991358024691358,0.8148148148148148,0.991358024691358,0.9135802469135802,0.9888888888888889,0.8024691358024691,0.9901234567901235,0.7283950617283951,0.9901234567901235,0.7901234567901234,0.9876543209876543,0.8148148148148148,0.9901234567901235,0.8148148148148148,0.9876543209876543,0.05670990897021226,0.03924772576123969,0.0453035856380516,0.0012203784713800366
9,0.3758040558208119,0.10745930671691895,0.8069584736251403,0.9894500530376112,gini,auto,100,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 100}",134,0.7804878048780488,0.9888751545117429,0.85,0.9889025893958077,0.8395061728395061,0.9888888888888889,0.7777777777777778,0.991358024691358,0.7901234567901234,0.991358024691358,0.8888888888888888,0.9888888888888889,0.8024691358024691,0.9901234567901235,0.7530864197530864,0.9901234567901235,0.7777777777777778,0.9876543209876543,0.8148148148148148,0.9901234567901235,0.8024691358024691,0.9876543209876543,0.023082738782526098,0.006535799274681539,0.037296924893634946,0.001219182731212164
