,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_activation,param_dropout,param_epochs,param_neurons,param_optimizer,param_shape,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,4.230902290344238,0.019476652145385742,0.8103254769921436,0.8299683250074855,relu,0.0,1000,16,adam,none,"{'activation': 'relu', 'dropout': 0.0, 'epochs': 1000, 'neurons': 16, 'optimizer': 'adam', 'shape': 'none'}",207,0.7877094972067039,0.8370786516853933,0.8033707865168539,0.8345021037868162,0.797752808988764,0.8274894810659187,0.7921348314606742,0.8359046283309958,0.8707865168539326,0.814866760168303,0.06119656368989817,0.0029528100691711212,0.030665777590075504,0.008252920943688643
1,4.886950349807739,0.02073807716369629,0.8125701459034792,0.8554993932899444,relu,0.0,1000,16,adam,one,"{'activation': 'relu', 'dropout': 0.0, 'epochs': 1000, 'neurons': 16, 'optimizer': 'adam', 'shape': 'one'}",157,0.7932960893854749,0.8553370786516854,0.8033707865168539,0.8653576437587658,0.7921348314606742,0.8401122019635343,0.7865168539325843,0.8751753155680224,0.8876404494382022,0.8415147265077139,0.0919175224594605,0.0012568644591856673,0.037900029883718246,0.013540235801243264
2,5.265279340744018,0.027847433090209962,0.8204264870931538,0.858584159352002,relu,0.0,1000,16,adam,two,"{'activation': 'relu', 'dropout': 0.0, 'epochs': 1000, 'neurons': 16, 'optimizer': 'adam', 'shape': 'two'}",44,0.7877094972067039,0.8525280898876404,0.8202247191011236,0.8625525946704067,0.8258426966292135,0.8625525946704067,0.7921348314606742,0.8583450210378681,0.8764044943820225,0.8569424964936886,0.10403410424530621,0.0034812273789916505,0.03173039474161734,0.0037663026746014164
3,3.844854545593262,0.018198251724243164,0.792368125701459,0.8215504199694281,relu,0.0,1000,16,adagrad,none,"{'activation': 'relu', 'dropout': 0.0, 'epochs': 1000, 'neurons': 16, 'optimizer': 'adagrad', 'shape': 'none'}",691,0.7653631284916201,0.827247191011236,0.797752808988764,0.8218793828892006,0.7752808988764045,0.8218793828892006,0.7865168539325843,0.8260869565217391,0.8370786516853933,0.8106591865357644,0.08351163325033,0.0028997382827213414,0.024836015066725094,0.005862913321974997
4,4.134160470962525,0.02002682685852051,0.8159371492704826,0.8409127440629087,relu,0.0,1000,16,adagrad,one,"{'activation': 'relu', 'dropout': 0.0, 'epochs': 1000, 'neurons': 16, 'optimizer': 'adagrad', 'shape': 'one'}",97,0.7932960893854749,0.8539325842696629,0.8146067415730337,0.847124824684432,0.8033707865168539,0.8415147265077139,0.7921348314606742,0.8457223001402524,0.8764044943820225,0.8162692847124825,0.0819964391469133,0.006369952500919268,0.0312810928621067,0.012952995683924192
5,4.795865392684936,0.019761371612548827,0.8069584736251403,0.8448374489812001,relu,0.0,1000,16,adagrad,two,"{'activation': 'relu', 'dropout': 0.0, 'epochs': 1000, 'neurons': 16, 'optimizer': 'adagrad', 'shape': 'two'}",281,0.7653631284916201,0.8455056179775281,0.8146067415730337,0.8597475455820477,0.7808988764044944,0.8302945301542777,0.797752808988764,0.8555399719495091,0.8764044943820225,0.8330995792426368,0.1254384357714101,0.004347462871052865,0.0384101472398692,0.011718152604804043
6,4.016787958145142,0.016617012023925782,0.7946127946127947,0.825197771719432,relu,0.0,1000,16,rmsprop,none,"{'activation': 'relu', 'dropout': 0.0, 'epochs': 1000, 'neurons': 16, 'optimizer': 'rmsprop', 'shape': 'none'}",627,0.770949720670391,0.8300561797752809,0.7808988764044944,0.8316970546984572,0.7921348314606742,0.8288920056100981,0.7696629213483146,0.8302945301542777,0.8595505617977528,0.8050490883590463,0.1078462252915785,0.0026929666252507142,0.033437784205623725,0.010113738772756434
7,4.447530460357666,0.01730203628540039,0.8125701459034792,0.8411932489717447,relu,0.0,1000,16,rmsprop,one,"{'activation': 'relu', 'dropout': 0.0, 'epochs': 1000, 'neurons': 16, 'optimizer': 'rmsprop', 'shape': 'one'}",157,0.7988826815642458,0.8539325842696629,0.8202247191011236,0.85273492286115,0.8033707865168539,0.8387096774193549,0.7865168539325843,0.85273492286115,0.8539325842696629,0.8078541374474053,0.08587938421707898,0.000346171231738738,0.023316050593009577,0.017586219724885315
8,4.8860876083374025,0.024205827713012697,0.8125701459034792,0.8417550467245537,relu,0.0,1000,16,rmsprop,two,"{'activation': 'relu', 'dropout': 0.0, 'epochs': 1000, 'neurons': 16, 'optimizer': 'rmsprop', 'shape': 'two'}",157,0.7877094972067039,0.8567415730337079,0.8202247191011236,0.844319775596073,0.8033707865168539,0.8429172510518934,0.797752808988764,0.8583450210378681,0.8539325842696629,0.8064516129032258,0.07776316445593297,0.0022308547899937666,0.023203985350195737,0.018730105238311808
9,4.337605619430542,0.020963478088378906,0.8002244668911336,0.8347341506847157,relu,0.0,1000,16,adadelta,none,"{'activation': 'relu', 'dropout': 0.0, 'epochs': 1000, 'neurons': 16, 'optimizer': 'adadelta', 'shape': 'none'}",481,0.7486033519553073,0.827247191011236,0.8033707865168539,0.8345021037868162,0.797752808988764,0.8359046283309958,0.7865168539325843,0.8429172510518934,0.8651685393258427,0.8330995792426368,0.12353263511065256,0.003661440488953032,0.03766531423466856,0.00504209052386292
