,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_algorithm,param_learning_rate,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.02512543201446533,0.001312112808227539,0.7822671156004489,0.782266800477968,SAMME,0.0001,10,"{'algorithm': 'SAMME', 'learning_rate': 0.0001, 'n_estimators': 10}",98,0.7666666666666667,0.784019975031211,0.7888888888888889,0.7815230961298377,0.7303370786516854,0.7880299251870324,0.8539325842696629,0.7743142144638404,0.7865168539325843,0.7817955112219451,0.7865168539325843,0.7817955112219451,0.7752808988764045,0.7830423940149626,0.7640449438202247,0.78428927680798,0.8202247191011236,0.7780548628428927,0.75,0.7858032378580324,0.006000176181747531,0.00042604114180053084,0.03316320729878939,0.0036805833620031665
1,0.041109657287597655,0.0019255638122558593,0.7822671156004489,0.782266800477968,SAMME,0.0001,20,"{'algorithm': 'SAMME', 'learning_rate': 0.0001, 'n_estimators': 20}",98,0.7666666666666667,0.784019975031211,0.7888888888888889,0.7815230961298377,0.7303370786516854,0.7880299251870324,0.8539325842696629,0.7743142144638404,0.7865168539325843,0.7817955112219451,0.7865168539325843,0.7817955112219451,0.7752808988764045,0.7830423940149626,0.7640449438202247,0.78428927680798,0.8202247191011236,0.7780548628428927,0.75,0.7858032378580324,0.00580566958621151,0.0004530918394919475,0.03316320729878939,0.0036805833620031665
2,0.05649666786193848,0.0023175716400146485,0.7822671156004489,0.782266800477968,SAMME,0.0001,30,"{'algorithm': 'SAMME', 'learning_rate': 0.0001, 'n_estimators': 30}",98,0.7666666666666667,0.784019975031211,0.7888888888888889,0.7815230961298377,0.7303370786516854,0.7880299251870324,0.8539325842696629,0.7743142144638404,0.7865168539325843,0.7817955112219451,0.7865168539325843,0.7817955112219451,0.7752808988764045,0.7830423940149626,0.7640449438202247,0.78428927680798,0.8202247191011236,0.7780548628428927,0.75,0.7858032378580324,0.0035504530158276537,0.00025088979095366554,0.03316320729878939,0.0036805833620031665
3,0.07337436676025391,0.0031585216522216795,0.7822671156004489,0.782266800477968,SAMME,0.0001,40,"{'algorithm': 'SAMME', 'learning_rate': 0.0001, 'n_estimators': 40}",98,0.7666666666666667,0.784019975031211,0.7888888888888889,0.7815230961298377,0.7303370786516854,0.7880299251870324,0.8539325842696629,0.7743142144638404,0.7865168539325843,0.7817955112219451,0.7865168539325843,0.7817955112219451,0.7752808988764045,0.7830423940149626,0.7640449438202247,0.78428927680798,0.8202247191011236,0.7780548628428927,0.75,0.7858032378580324,0.0025980850027772467,0.00010735826334361097,0.03316320729878939,0.0036805833620031665
4,0.09306683540344238,0.003782773017883301,0.7822671156004489,0.782266800477968,SAMME,0.0001,50,"{'algorithm': 'SAMME', 'learning_rate': 0.0001, 'n_estimators': 50}",98,0.7666666666666667,0.784019975031211,0.7888888888888889,0.7815230961298377,0.7303370786516854,0.7880299251870324,0.8539325842696629,0.7743142144638404,0.7865168539325843,0.7817955112219451,0.7865168539325843,0.7817955112219451,0.7752808988764045,0.7830423940149626,0.7640449438202247,0.78428927680798,0.8202247191011236,0.7780548628428927,0.75,0.7858032378580324,0.000864391023403111,4.7050014360669783e-05,0.03316320729878939,0.0036805833620031665
5,0.11179943084716797,0.004467010498046875,0.7822671156004489,0.782266800477968,SAMME,0.0001,60,"{'algorithm': 'SAMME', 'learning_rate': 0.0001, 'n_estimators': 60}",98,0.7666666666666667,0.784019975031211,0.7888888888888889,0.7815230961298377,0.7303370786516854,0.7880299251870324,0.8539325842696629,0.7743142144638404,0.7865168539325843,0.7817955112219451,0.7865168539325843,0.7817955112219451,0.7752808988764045,0.7830423940149626,0.7640449438202247,0.78428927680798,0.8202247191011236,0.7780548628428927,0.75,0.7858032378580324,0.0019617177261092578,2.6918925219142913e-05,0.03316320729878939,0.0036805833620031665
6,0.1292799711227417,0.00515596866607666,0.7822671156004489,0.782266800477968,SAMME,0.0001,70,"{'algorithm': 'SAMME', 'learning_rate': 0.0001, 'n_estimators': 70}",98,0.7666666666666667,0.784019975031211,0.7888888888888889,0.7815230961298377,0.7303370786516854,0.7880299251870324,0.8539325842696629,0.7743142144638404,0.7865168539325843,0.7817955112219451,0.7865168539325843,0.7817955112219451,0.7752808988764045,0.7830423940149626,0.7640449438202247,0.78428927680798,0.8202247191011236,0.7780548628428927,0.75,0.7858032378580324,0.0014211885730200297,2.178578386366649e-05,0.03316320729878939,0.0036805833620031665
7,0.1645205020904541,0.006223416328430176,0.7822671156004489,0.782266800477968,SAMME,0.0001,80,"{'algorithm': 'SAMME', 'learning_rate': 0.0001, 'n_estimators': 80}",98,0.7666666666666667,0.784019975031211,0.7888888888888889,0.7815230961298377,0.7303370786516854,0.7880299251870324,0.8539325842696629,0.7743142144638404,0.7865168539325843,0.7817955112219451,0.7865168539325843,0.7817955112219451,0.7752808988764045,0.7830423940149626,0.7640449438202247,0.78428927680798,0.8202247191011236,0.7780548628428927,0.75,0.7858032378580324,0.030998657546774187,0.00052744754907312,0.03316320729878939,0.0036805833620031665
8,0.16969032287597657,0.008213949203491212,0.7822671156004489,0.782266800477968,SAMME,0.0001,90,"{'algorithm': 'SAMME', 'learning_rate': 0.0001, 'n_estimators': 90}",98,0.7666666666666667,0.784019975031211,0.7888888888888889,0.7815230961298377,0.7303370786516854,0.7880299251870324,0.8539325842696629,0.7743142144638404,0.7865168539325843,0.7817955112219451,0.7865168539325843,0.7817955112219451,0.7752808988764045,0.7830423940149626,0.7640449438202247,0.78428927680798,0.8202247191011236,0.7780548628428927,0.75,0.7858032378580324,0.005153887668818188,0.00407611307072835,0.03316320729878939,0.0036805833620031665
9,0.19151911735534669,0.007378435134887696,0.7822671156004489,0.782266800477968,SAMME,0.0001,100,"{'algorithm': 'SAMME', 'learning_rate': 0.0001, 'n_estimators': 100}",98,0.7666666666666667,0.784019975031211,0.7888888888888889,0.7815230961298377,0.7303370786516854,0.7880299251870324,0.8539325842696629,0.7743142144638404,0.7865168539325843,0.7817955112219451,0.7865168539325843,0.7817955112219451,0.7752808988764045,0.7830423940149626,0.7640449438202247,0.78428927680798,0.8202247191011236,0.7780548628428927,0.75,0.7858032378580324,0.018225123625784097,0.0006410787089315811,0.03316320729878939,0.0036805833620031665
