,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_decision_function_shape,param_degree,param_kernel,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
45,0.04210011959075928,0.0013248205184936523,0.8249158249158249,0.8875194603048089,100,ovr,3,poly,"{'C': 100, 'decision_function_shape': 'ovr', 'degree': 3, 'kernel': 'poly'}",13,0.8,0.9001248439450686,0.8,0.8876404494382022,0.7415730337078652,0.8940149625935162,0.8539325842696629,0.8877805486284289,0.8876404494382022,0.8802992518703242,0.8426966292134831,0.885286783042394,0.8314606741573034,0.885286783042394,0.7865168539325843,0.8877805486284289,0.8539325842696629,0.885286783042394,0.8522727272727273,0.8816936488169365,0.0030538840654918465,6.776416807035147e-05,0.040465981411635106,0.005497856417737131
46,0.03613617420196533,0.0014558553695678711,0.819304152637486,0.8891397864357952,100,ovr,4,poly,"{'C': 100, 'decision_function_shape': 'ovr', 'degree': 4, 'kernel': 'poly'}",29,0.8,0.898876404494382,0.8,0.8876404494382022,0.7528089887640449,0.8952618453865336,0.8539325842696629,0.8902743142144638,0.8651685393258427,0.8802992518703242,0.8202247191011236,0.8865336658354115,0.8314606741573034,0.8940149625935162,0.8202247191011236,0.8865336658354115,0.8089887640449438,0.8865336658354115,0.8409090909090909,0.8854296388542964,0.002168372966561958,0.00010214571221808955,0.03030683656661163,0.005214208324644025
47,0.03219161033630371,0.0014596223831176759,0.8170594837261503,0.8847753833901478,100,ovr,5,poly,"{'C': 100, 'decision_function_shape': 'ovr', 'degree': 5, 'kernel': 'poly'}",33,0.7888888888888889,0.8938826466916354,0.8222222222222222,0.8838951310861424,0.7528089887640449,0.8902743142144638,0.8539325842696629,0.8840399002493765,0.8314606741573034,0.8778054862842892,0.8202247191011236,0.8865336658354115,0.8314606741573034,0.8865336658354115,0.8089887640449438,0.8827930174563591,0.8202247191011236,0.8827930174563591,0.8409090909090909,0.8792029887920298,0.0020612979188380344,7.791017579820857e-05,0.02715013248179465,0.004562564800101235
48,0.25905208587646483,0.0011813640594482422,0.8215488215488216,0.8961226441222003,1000,ovo,2,poly,"{'C': 1000, 'decision_function_shape': 'ovo', 'degree': 2, 'kernel': 'poly'}",25,0.8111111111111111,0.9038701622971286,0.8111111111111111,0.8938826466916354,0.7303370786516854,0.9077306733167082,0.8202247191011236,0.8927680798004988,0.8764044943820225,0.8890274314214464,0.8089887640449438,0.8977556109725686,0.8314606741573034,0.8977556109725686,0.8089887640449438,0.8927680798004988,0.8314606741573034,0.8915211970074813,0.8863636363636364,0.8941469489414695,0.05166859577434708,4.090140039706616e-05,0.04024720819926011,0.005504961974906428
49,0.17175683975219727,0.0012403011322021484,0.8305274971941639,0.9089669421469981,1000,ovo,3,poly,"{'C': 1000, 'decision_function_shape': 'ovo', 'degree': 3, 'kernel': 'poly'}",7,0.7777777777777778,0.9138576779026217,0.8333333333333334,0.9088639200998752,0.7528089887640449,0.9177057356608479,0.8202247191011236,0.9077306733167082,0.8876404494382022,0.9052369077306733,0.8539325842696629,0.9052369077306733,0.8202247191011236,0.9139650872817955,0.8089887640449438,0.9052369077306733,0.8764044943820225,0.9039900249376559,0.875,0.9078455790784558,0.03432368851046493,9.597979874761251e-05,0.04169959964313393,0.004411041459128629
50,0.13232131004333497,0.0017505407333374024,0.8237934904601572,0.9124580590771009,1000,ovo,4,poly,"{'C': 1000, 'decision_function_shape': 'ovo', 'degree': 4, 'kernel': 'poly'}",19,0.7888888888888889,0.9138576779026217,0.8111111111111111,0.9101123595505618,0.7415730337078652,0.9201995012468828,0.8314606741573034,0.9114713216957606,0.898876404494382,0.9077306733167082,0.8314606741573034,0.912718204488778,0.8089887640449438,0.9177057356608479,0.8089887640449438,0.9114713216957606,0.8651685393258427,0.9089775561097256,0.8522727272727273,0.9103362391033624,0.019795022871658276,0.001239821094164251,0.04104043447067609,0.0036865763183522226
51,0.11168513298034669,0.0013842105865478516,0.8237934904601572,0.9130810334763089,1000,ovo,5,poly,"{'C': 1000, 'decision_function_shape': 'ovo', 'degree': 5, 'kernel': 'poly'}",19,0.7777777777777778,0.9126092384519351,0.8,0.9076154806491885,0.7528089887640449,0.9239401496259352,0.8314606741573034,0.912718204488778,0.8876404494382022,0.9089775561097256,0.8426966292134831,0.9139650872817955,0.8202247191011236,0.9189526184538653,0.8089887640449438,0.9102244389027432,0.8651685393258427,0.9114713216957606,0.8522727272727273,0.9103362391033624,0.02320122994320417,5.8310848369108046e-05,0.03869627418229942,0.0046746945908580735
52,0.27660038471221926,0.0012294769287109375,0.8215488215488216,0.8961226441222003,1000,ovr,2,poly,"{'C': 1000, 'decision_function_shape': 'ovr', 'degree': 2, 'kernel': 'poly'}",25,0.8111111111111111,0.9038701622971286,0.8111111111111111,0.8938826466916354,0.7303370786516854,0.9077306733167082,0.8202247191011236,0.8927680798004988,0.8764044943820225,0.8890274314214464,0.8089887640449438,0.8977556109725686,0.8314606741573034,0.8977556109725686,0.8089887640449438,0.8927680798004988,0.8314606741573034,0.8915211970074813,0.8863636363636364,0.8941469489414695,0.05708570585909235,4.209081327199617e-05,0.04024720819926011,0.005504961974906428
53,0.1912846803665161,0.0012402296066284179,0.8305274971941639,0.9089669421469981,1000,ovr,3,poly,"{'C': 1000, 'decision_function_shape': 'ovr', 'degree': 3, 'kernel': 'poly'}",7,0.7777777777777778,0.9138576779026217,0.8333333333333334,0.9088639200998752,0.7528089887640449,0.9177057356608479,0.8202247191011236,0.9077306733167082,0.8876404494382022,0.9052369077306733,0.8539325842696629,0.9052369077306733,0.8202247191011236,0.9139650872817955,0.8089887640449438,0.9052369077306733,0.8764044943820225,0.9039900249376559,0.875,0.9078455790784558,0.04769724409846557,5.716991675916809e-05,0.04169959964313393,0.004411041459128629
54,0.13789191246032714,0.0013341903686523438,0.8237934904601572,0.9124580590771009,1000,ovr,4,poly,"{'C': 1000, 'decision_function_shape': 'ovr', 'degree': 4, 'kernel': 'poly'}",19,0.7888888888888889,0.9138576779026217,0.8111111111111111,0.9101123595505618,0.7415730337078652,0.9201995012468828,0.8314606741573034,0.9114713216957606,0.898876404494382,0.9077306733167082,0.8314606741573034,0.912718204488778,0.8089887640449438,0.9177057356608479,0.8089887640449438,0.9114713216957606,0.8651685393258427,0.9089775561097256,0.8522727272727273,0.9103362391033624,0.020847764363629933,5.079267081397308e-05,0.04104043447067609,0.0036865763183522226
