,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_AddPoly__degree,param_LR__C,param_LR__penalty,param_LR__solver,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,split8_test_score,split8_train_score,split9_test_score,split9_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
52,18.76111786365509,0.0872687816619873,0.8249158249158249,0.8654448030262574,3,0.01,l2,newton-cg,"{'AddPoly__degree': 3, 'LR__C': 0.01, 'LR__penalty': 'l2', 'LR__solver': 'newton-cg'}",12,0.7888888888888889,0.8714107365792759,0.8333333333333334,0.8576779026217228,0.7752808988764045,0.8753117206982544,0.8539325842696629,0.8640897755610972,0.8764044943820225,0.8603491271820449,0.8089887640449438,0.8640897755610972,0.8202247191011236,0.8640897755610972,0.797752808988764,0.8728179551122195,0.8314606741573034,0.8628428927680798,0.8636363636363636,0.8617683686176837,3.452331896803729,0.025787055787779827,0.03141423852700195,0.005471716902738525
53,7.886746263504028,0.08609294891357422,0.8260381593714927,0.8655696469713259,3,0.01,l2,lbfgs,"{'AddPoly__degree': 3, 'LR__C': 0.01, 'LR__penalty': 'l2', 'LR__solver': 'lbfgs'}",9,0.7888888888888889,0.8714107365792759,0.8333333333333334,0.8589263420724095,0.7752808988764045,0.8753117206982544,0.8539325842696629,0.8640897755610972,0.8764044943820225,0.8603491271820449,0.8089887640449438,0.8640897755610972,0.8202247191011236,0.8615960099750624,0.797752808988764,0.8728179551122195,0.8426966292134831,0.8653366583541147,0.8636363636363636,0.8617683686176837,1.166265015012338,0.032341853026974135,0.0318260312751151,0.005363072409001342
54,7.15995090007782,0.12008378505706788,0.8215488215488216,0.8457417137067097,3,0.01,l2,sag,"{'AddPoly__degree': 3, 'LR__C': 0.01, 'LR__penalty': 'l2', 'LR__solver': 'sag'}",21,0.8111111111111111,0.846441947565543,0.8111111111111111,0.8439450686641697,0.7640449438202247,0.8541147132169576,0.8539325842696629,0.844139650872818,0.8651685393258427,0.8428927680798005,0.797752808988764,0.8528678304239401,0.8089887640449438,0.8403990024937655,0.7865168539325843,0.8478802992518704,0.8539325842696629,0.8428927680798005,0.8636363636363636,0.8418430884184309,0.5488268227126164,0.04867983558045388,0.03349213396471061,0.004378628771697212
55,26.930879950523376,0.07382614612579345,0.835016835016835,0.8973695269152178,3,0.1,l2,newton-cg,"{'AddPoly__degree': 3, 'LR__C': 0.1, 'LR__penalty': 'l2', 'LR__solver': 'newton-cg'}",2,0.8,0.9038701622971286,0.8111111111111111,0.8938826466916354,0.7528089887640449,0.9139650872817955,0.8426966292134831,0.8952618453865336,0.8876404494382022,0.8915211970074813,0.8539325842696629,0.8977556109725686,0.8426966292134831,0.8952618453865336,0.797752808988764,0.8927680798004988,0.8764044943820225,0.8952618453865336,0.8863636363636364,0.8941469489414695,2.454221327262491,0.022407937097201548,0.04184464391981264,0.006395830909095881
56,7.71960220336914,0.12466564178466796,0.8327721661054994,0.897493437641106,3,0.1,l2,lbfgs,"{'AddPoly__degree': 3, 'LR__C': 0.1, 'LR__penalty': 'l2', 'LR__solver': 'lbfgs'}",3,0.8,0.9013732833957553,0.8111111111111111,0.8926342072409488,0.7528089887640449,0.9114713216957606,0.8426966292134831,0.8965087281795511,0.8876404494382022,0.8952618453865336,0.8539325842696629,0.899002493765586,0.8426966292134831,0.8977556109725686,0.7865168539325843,0.8902743142144638,0.8651685393258427,0.8940149625935162,0.8863636363636364,0.8966376089663761,1.185871625334126,0.05818905458197935,0.04197499843602847,0.0055433760668950035
57,7.161740946769714,0.08942739963531494,0.8204264870931538,0.846739531660368,3,0.1,l2,sag,"{'AddPoly__degree': 3, 'LR__C': 0.1, 'LR__penalty': 'l2', 'LR__solver': 'sag'}",27,0.7888888888888889,0.850187265917603,0.8111111111111111,0.8439450686641697,0.7640449438202247,0.8541147132169576,0.8539325842696629,0.844139650872818,0.8764044943820225,0.8428927680798005,0.797752808988764,0.8516209476309227,0.8089887640449438,0.8428927680798005,0.7865168539325843,0.8491271820448878,0.8539325842696629,0.8453865336658354,0.8636363636363636,0.8430884184308842,0.5024748785086297,0.03238555465907639,0.03643797011923216,0.003938706459757188
58,52.12712595462799,0.12396204471588135,0.8249158249158249,0.913829787366029,3,1,l2,newton-cg,"{'AddPoly__degree': 3, 'LR__C': 1, 'LR__penalty': 'l2', 'LR__solver': 'newton-cg'}",12,0.7888888888888889,0.9188514357053683,0.8111111111111111,0.9113607990012484,0.7415730337078652,0.9239401496259352,0.8314606741573034,0.9102244389027432,0.8651685393258427,0.912718204488778,0.8426966292134831,0.9089775561097256,0.8089887640449438,0.9152119700748129,0.8089887640449438,0.912718204488778,0.8876404494382022,0.9089775561097256,0.8636363636363636,0.9153175591531756,8.184142453329542,0.0638127562110456,0.04041822472619195,0.00447453060559478
59,7.761974430084228,0.1593390464782715,0.8316498316498316,0.9068469304550449,3,1,l2,lbfgs,"{'AddPoly__degree': 3, 'LR__C': 1, 'LR__penalty': 'l2', 'LR__solver': 'lbfgs'}",4,0.8,0.9151061173533084,0.8333333333333334,0.9063670411985019,0.7640449438202247,0.9226932668329177,0.8426966292134831,0.9002493765586035,0.8764044943820225,0.9014962593516209,0.8539325842696629,0.9052369077306733,0.797752808988764,0.9089775561097256,0.8089887640449438,0.899002493765586,0.8539325842696629,0.9002493765586035,0.8863636363636364,0.9090909090909091,0.5529933099956683,0.06514817660073377,0.036485404040852626,0.007133991313115843
60,7.908646726608277,0.14346692562103272,0.8204264870931538,0.8471134412202168,3,1,l2,sag,"{'AddPoly__degree': 3, 'LR__C': 1, 'LR__penalty': 'l2', 'LR__solver': 'sag'}",27,0.7888888888888889,0.850187265917603,0.8111111111111111,0.8439450686641697,0.7640449438202247,0.8553615960099751,0.8539325842696629,0.8453865336658354,0.8764044943820225,0.844139650872818,0.797752808988764,0.8503740648379052,0.8089887640449438,0.8428927680798005,0.7865168539325843,0.8491271820448878,0.8539325842696629,0.8453865336658354,0.8636363636363636,0.8443337484433375,0.5532901497556663,0.06550116209013924,0.03643797011923216,0.0037756387667554746
61,112.5347315311432,0.20809295177459716,0.8058361391694725,0.929542383199778,3,10,l2,newton-cg,"{'AddPoly__degree': 3, 'LR__C': 10, 'LR__penalty': 'l2', 'LR__solver': 'newton-cg'}",54,0.7666666666666667,0.9313358302122348,0.7888888888888889,0.9288389513108615,0.7078651685393258,0.9451371571072319,0.8089887640449438,0.9201995012468828,0.8426966292134831,0.928927680798005,0.8089887640449438,0.9326683291770573,0.7865168539325843,0.928927680798005,0.8089887640449438,0.9276807980049875,0.8876404494382022,0.9214463840399002,0.8522727272727273,0.9302615193026152,10.047244016328085,0.13190059849715935,0.04690557959052075,0.006436247353280824
